hpo_id,hpo_term,bearer_iri,quality_iri
HP:0012888,Abnormal uterine cervix morphology,UBERON:0000002,PATO:0000051
HP:0012888,Abnormal uterine cervix morphology,UBERON:0000002,PATO:0000460
HP:0030008,Cervical agenesis,UBERON:0000002,PATO:0000460
HP:0030008,Cervical agenesis,UBERON:0000002,PATO:0000462
HP:0000366,Abnormality of the nose,UBERON:0000004,PATO:0000001
HP:0005105,Abnormal nasal morphology,UBERON:0000004,PATO:0000051
HP:0011803,Bifid nose,UBERON:0000004,PATO:0000403
HP:0000457,Depressed nasal ridge,UBERON:0000004,PATO:0000407
HP:0000366,Abnormality of the nose,UBERON:0000004,PATO:0000460
HP:0000414,Bulbous nose,UBERON:0000004,PATO:0000460
HP:0000417,Slender nose,UBERON:0000004,PATO:0000460
HP:0000421,Epistaxis,UBERON:0000004,PATO:0000460
HP:0000445,Wide nose,UBERON:0000004,PATO:0000460
HP:0000448,Prominent nose,UBERON:0000004,PATO:0000460
HP:0000457,Depressed nasal ridge,UBERON:0000004,PATO:0000460
HP:0000460,Narrow nose,UBERON:0000004,PATO:0000460
HP:0001742,Nasal congestion,UBERON:0000004,PATO:0000460
HP:0003189,Long nose,UBERON:0000004,PATO:0000460
HP:0003196,Short nose,UBERON:0000004,PATO:0000460
HP:0005105,Abnormal nasal morphology,UBERON:0000004,PATO:0000460
HP:0009924,Aplasia/Hypoplasia involving the nose,UBERON:0000004,PATO:0000460
HP:0009927,Aplasia of the nose,UBERON:0000004,PATO:0000460
HP:0009932,Single naris,UBERON:0000004,PATO:0000460
HP:0011803,Bifid nose,UBERON:0000004,PATO:0000460
HP:0041249,Fractured nose,UBERON:0000004,PATO:0000460
HP:0000421,Epistaxis,UBERON:0000004,PATO:0000470
HP:0003189,Long nose,UBERON:0000004,PATO:0000573
HP:0000414,Bulbous nose,UBERON:0000004,PATO:0000595
HP:0000460,Narrow nose,UBERON:0000004,PATO:0000599
HP:0000445,Wide nose,UBERON:0000004,PATO:0000600
HP:0009927,Aplasia of the nose,UBERON:0000004,PATO:0000617
HP:0003196,Short nose,UBERON:0000004,PATO:0000645
HP:0001742,Nasal congestion,UBERON:0000004,PATO:0000648
HP:0000448,Prominent nose,UBERON:0000004,PATO:0001482
HP:0009932,Single naris,UBERON:0000004,PATO:0001997
HP:0000417,Slender nose,UBERON:0000004,PATO:0002212
HP:0009924,Aplasia/Hypoplasia involving the nose,UBERON:0000004,PATO:0002290
HP:0041249,Fractured nose,UBERON:0000004,PATO:0040034
HP:0006476,Abnormality of the pancreatic islet cells,UBERON:0000006,PATO:0000001
HP:0004510,Pancreatic islet-cell hyperplasia,UBERON:0000006,PATO:0000460
HP:0006476,Abnormality of the pancreatic islet cells,UBERON:0000006,PATO:0000460
HP:0004510,Pancreatic islet-cell hyperplasia,UBERON:0000006,PATO:0000586
HP:0012503,Abnormal pituitary gland morphology,UBERON:0000007,PATO:0000051
HP:0012504,Abnormal size of pituitary gland,UBERON:0000007,PATO:0000117
HP:0010513,Pituitary calcification,UBERON:0000007,PATO:0000460
HP:0010514,Hyperpituitarism,UBERON:0000007,PATO:0000460
HP:0012503,Abnormal pituitary gland morphology,UBERON:0000007,PATO:0000460
HP:0012504,Abnormal size of pituitary gland,UBERON:0000007,PATO:0000460
HP:0012505,Enlarged pituitary gland,UBERON:0000007,PATO:0000460
HP:0012506,Small pituitary gland,UBERON:0000007,PATO:0000460
HP:0040075,Hypopituitarism,UBERON:0000007,PATO:0000460
HP:0410278,Pituitary gland cyst,UBERON:0000007,PATO:0000460
HP:0410279,Atrophic pituitary gland,UBERON:0000007,PATO:0000460
HP:0012505,Enlarged pituitary gland,UBERON:0000007,PATO:0000586
HP:0012506,Small pituitary gland,UBERON:0000007,PATO:0000587
HP:0040075,Hypopituitarism,UBERON:0000007,PATO:0000911
HP:0010514,Hyperpituitarism,UBERON:0000007,PATO:0000912
HP:0010513,Pituitary calcification,UBERON:0000007,PATO:0001447
HP:0410279,Atrophic pituitary gland,UBERON:0000007,PATO:0001623
HP:0410278,Pituitary gland cyst,UBERON:0000007,PATO:0001673
HP:0009101,Submucous cleft lip,UBERON:0000009,PATO:0000460
HP:0009101,Submucous cleft lip,UBERON:0000009,PATO:0001786
HP:0410008,Abnormality of the peripheral nervous system,UBERON:0000010,PATO:0000001
HP:0000759,Abnormal peripheral nervous system morphology,UBERON:0000010,PATO:0000051
HP:0000759,Abnormal peripheral nervous system morphology,UBERON:0000010,PATO:0000460
HP:0003469,Peripheral dysmyelination,UBERON:0000010,PATO:0000460
HP:0007182,Peripheral hypomyelination,UBERON:0000010,PATO:0000460
HP:0011096,Peripheral demyelination,UBERON:0000010,PATO:0000460
HP:0030173,Peripheral hypermyelination,UBERON:0000010,PATO:0000460
HP:0032120,Abnormal peripheral nervous system physiology,UBERON:0000010,PATO:0000460
HP:0410008,Abnormality of the peripheral nervous system,UBERON:0000010,PATO:0000460
HP:0011096,Peripheral demyelination,UBERON:0000010,PATO:0000639
HP:0003469,Peripheral dysmyelination,UBERON:0000010,PATO:0000911
HP:0032120,Abnormal peripheral nervous system physiology,UBERON:0000010,PATO:0001509
HP:0007182,Peripheral hypomyelination,UBERON:0000010,PATO:0002001
HP:0030173,Peripheral hypermyelination,UBERON:0000010,PATO:0002002
HP:0410009,Abnormality of the somatic nervous system,UBERON:0000012,PATO:0000001
HP:0410009,Abnormality of the somatic nervous system,UBERON:0000012,PATO:0000460
HP:0001000,Abnormality of skin pigmentation,UBERON:0000014,PATO:0000001
HP:0001000,Abnormality of skin pigmentation,UBERON:0000014,PATO:0000460
HP:0031509,Dry nipple,UBERON:0000014,PATO:0000460
HP:0031509,Dry nipple,UBERON:0000014,PATO:0001801
HP:0012093,Abnormality of endocrine pancreas physiology,UBERON:0000016,PATO:0000460
