id1,id2,logical,text,inherit,term1,term2
HP:0000013,HP:0100878,f,t,f,Hypoplasia of the uterus,Enlarged uterus
HP:0000040,HP:0000054,f,t,f,Long penis,Micropenis
HP:0000044,HP:0000815,f,t,f,Hypogonadotropic hypogonadism,Hypergonadotropic hypogonadism
HP:0000053,HP:0008734,t,t,f,Macroorchidism,Decreased testicular size
HP:0000059,HP:0012882,t,t,f,Hypoplastic labia majora,Hyperplastic labia majora
HP:0000060,HP:0008665,f,t,f,Clitoral hypoplasia,Clitoral hypertrophy
HP:0000089,HP:0000105,f,t,f,Renal hypoplasia,Enlarged kidney
HP:0000093,HP:0003127,t,f,f,Proteinuria,Hypocalciuria
HP:0000093,HP:0003359,t,f,f,Proteinuria,Decreased urinary sulfate
HP:0000093,HP:0011935,t,f,f,Proteinuria,Decreased urinary urate
HP:0000093,HP:0012364,t,f,f,Proteinuria,Decreased urinary potassium
HP:0000093,HP:0012365,t,f,f,Proteinuria,Hypophosphaturia
HP:0000093,HP:0012403,t,f,f,Proteinuria,Decreased urine alpha-ketoglutarate concentration
HP:0000093,HP:0012405,t,f,f,Proteinuria,Hypocitraturia
HP:0000093,HP:0012601,t,f,f,Proteinuria,Hypochloriduria
HP:0000093,HP:0012604,t,f,f,Proteinuria,Hyponatriuria
HP:0000093,HP:0012609,t,f,f,Proteinuria,Hypomagnesiuria
HP:0000093,HP:0040426,t,f,f,Proteinuria,Decreased urinary hypoxanthine level
HP:0000093,HP:0045011,t,f,f,Proteinuria,Decreased urine bicarbonate concentration
HP:0000093,HP:0045012,t,f,f,Proteinuria,Decreased urinary catecholamine concentration
HP:0000093,HP:0045035,t,f,f,Proteinuria,Decreased urinary copper concentration
HP:0000093,HP:0410055,t,f,f,Proteinuria,Decreased level of erythritol in urine
HP:0000093,HP:0410060,t,f,f,Proteinuria,Decreased level of D-mannose in urine
HP:0000093,HP:0410314,t,f,f,Proteinuria,Decreased urinary 1-methylhistidine
HP:0000093,HP:0410318,t,f,f,Proteinuria,Decreased urinary 3-methylhistidine
HP:0000098,HP:0004322,t,t,f,Tall stature,Short stature
HP:0000103,HP:0011037,f,t,f,Polyuria,Decreased urine output
HP:0000107,HP:0010685,t,f,f,Renal cyst,Low alkaline phosphatase of renal origin
HP:0000117,HP:0005571,f,t,f,Renal phosphate wasting,Increased renal tubular phosphate reabsorption
HP:0000122,HP:0010685,t,f,f,Unilateral renal agenesis,Low alkaline phosphatase of renal origin
HP:0000154,HP:0000160,t,t,f,Wide mouth,Narrow mouth
HP:0000158,HP:0000171,t,t,f,Macroglossia,Microglossia
HP:0000158,HP:0012473,f,t,f,Macroglossia,Tongue atrophy
HP:0000176,HP:0011819,f,t,f,Submucous cleft hard palate,Submucous cleft soft palate
HP:0000179,HP:0010282,f,t,f,Thick lower lip vermilion,Thin lower lip vermilion
HP:0000185,HP:0410005,f,t,f,Cleft soft palate,Cleft hard palate
HP:0000188,HP:0011341,t,t,f,Short upper lip,Long upper lip
HP:0000215,HP:0000219,f,t,f,Thick upper lip vermilion,Thin upper lip vermilion
HP:0000233,HP:0012471,f,t,f,Thin vermilion border,Thick vermilion border
HP:0000237,HP:0000260,f,t,f,Small anterior fontanelle,Wide anterior fontanel
HP:0000238,HP:0012446,t,f,f,Hydrocephalus,Decreased CSF 5-methyltetrahydrofolate concentration
HP:0000238,HP:0012656,t,f,f,Hydrocephalus,Reduced CSF dopamine concentration
HP:0000238,HP:0025457,t,f,f,Hydrocephalus,Decreased CSF protein concentration
HP:0000238,HP:0025458,t,f,f,Hydrocephalus,Decreased CSF albumin concentration
HP:0000238,HP:0030086,t,f,f,Hydrocephalus,Reduced CSF lactate
HP:0000238,HP:0040205,t,f,f,Hydrocephalus,Decreased CSF neopterin level
HP:0000238,HP:0040209,t,f,f,Hydrocephalus,Decreased CSF biopterin level
HP:0000238,HP:0410056,t,f,f,Hydrocephalus,Decreased CSF erythritol concentration
HP:0000238,HP:0410209,t,f,f,Hydrocephalus,Folate deficiency in CSF
HP:0000238,HP:0500188,t,f,f,Hydrocephalus,Decreased CSF valine concentration
HP:0000238,HP:0500190,t,f,f,Hydrocephalus,Decreased CSF leucine concentration
HP:0000238,HP:0500194,t,f,f,Hydrocephalus,Decreased CSF isoleucine concentration
HP:0000238,HP:0500198,t,f,f,Hydrocephalus,Decreased CSF glutamine concentration
HP:0000238,HP:0500201,t,f,f,Hydrocephalus,Decreased CSF glutamate concentration
HP:0000238,HP:0500204,t,f,f,Hydrocephalus,Decreased CSF arginine concentration
HP:0000238,HP:0500207,t,f,f,Hydrocephalus,Decreased CSF lysine concentration
HP:0000238,HP:0500213,t,f,f,Hydrocephalus,Decreased CSF threonine concentration
HP:0000238,HP:0500221,t,f,f,Hydrocephalus,Decreased CSF tyrosine concentration
HP:0000238,HP:0500224,t,f,f,Hydrocephalus,Decreased CSF phenylalanine concentration
HP:0000238,HP:0500228,t,f,f,Hydrocephalus,Decreased CSF serine concentration
HP:0000238,HP:0500234,t,f,f,Hydrocephalus,Decreased CSF alanine concentration
HP:0000238,HP:0500237,t,f,f,Hydrocephalus,Decreased CSF histidine concentration
HP:0000239,HP:0005486,t,t,f,Large fontanelles,Small fontanelle
HP:0000248,HP:0000268,t,t,f,Brachycephaly,Dolichocephaly
HP:0000252,HP:0000256,f,t,f,Microcephaly,Macrocephaly
HP:0000252,HP:0040194,f,t,f,Microcephaly,Increased head circumference
HP:0000253,HP:0004481,t,t,f,Progressive microcephaly,Progressive macrocephaly
HP:0000253,HP:0040194,t,f,f,Progressive microcephaly,Increased head circumference
HP:0000255,HP:0011109,f,t,f,Acute sinusitis,Chronic sinusitis
HP:0000272,HP:0010620,f,t,f,Malar flattening,Malar prominence
HP:0000274,HP:0100729,t,t,f,Small face,Large face
HP:0000275,HP:0000283,t,t,f,Narrow face,Broad face
HP:0000276,HP:0011219,t,t,f,Long face,Short face
HP:0000287,HP:0000292,t,t,f,Increased facial adipose tissue,Loss of facial adipose tissue
HP:0000287,HP:0009019,f,t,f,Increased facial adipose tissue,Progressive loss of facial adipose tissue
HP:0000289,HP:0011829,f,t,f,Broad philtrum,Narrow philtrum
HP:0000293,HP:0009938,t,f,f,Full cheeks,Sunken cheeks
HP:0000294,HP:0009890,f,t,f,Low anterior hairline,High anterior hairline
HP:0000303,HP:0000347,f,t,f,Mandibular prognathia,Micrognathia
HP:0000316,HP:0000601,t,t,f,Hypertelorism,Hypotelorism
HP:0000319,HP:0002002,f,t,f,Smooth philtrum,Deep philtrum
HP:0000322,HP:0000343,t,t,f,Short philtrum,Long philtrum
HP:0000327,HP:0430028,t,t,f,Hypoplasia of the maxilla,Hyperplasia of the maxilla
HP:0000331,HP:0400000,t,t,f,Short chin,Tall chin
HP:0000336,HP:0009891,f,t,f,Prominent supraorbital ridges,Underdeveloped supraorbital ridges
HP:0000337,HP:0000341,t,t,f,Broad forehead,Narrow forehead
HP:0000347,HP:0040309,f,t,f,Micrognathia,Increased size of the mandible
HP:0000350,HP:0002003,t,t,f,Small forehead,Large forehead
HP:0000371,HP:0000389,f,t,f,Acute otitis media,Chronic otitis media
HP:0000385,HP:0009748,f,t,f,Small earlobe,Large earlobe
HP:0000391,HP:0009905,t,f,f,Thickened helices,Thin ear helix
HP:0000400,HP:0008551,f,t,f,Macrotia,Microtia
HP:0000418,HP:0012811,f,t,f,Narrow nasal ridge,Wide nasal ridge
HP:0000421,HP:0009932,t,f,f,Epistaxis,Single naris
HP:0000426,HP:0005280,f,t,f,Prominent nasal bridge,Depressed nasal bridge
HP:0000431,HP:0000446,f,t,f,Wide nasal bridge,Narrow nasal bridge
HP:0000444,HP:0011120,f,t,f,Convex nasal ridge,Concave nasal ridge
HP:0000445,HP:0000460,t,t,f,Wide nose,Narrow nose
HP:0000448,HP:0009924,f,t,f,Prominent nose,Aplasia/Hypoplasia involving the nose
HP:0000455,HP:0011832,f,t,f,Broad nasal tip,Narrow nasal tip
HP:0000468,HP:0005995,t,f,f,Increased adipose tissue around the neck,Decreased adipose tissue around neck
HP:0000470,HP:0000472,t,t,f,Short neck,Long neck
HP:0000482,HP:0000485,t,t,f,Microcornea,Megalocornea
HP:0000494,HP:0000582,f,t,f,Downslanted palpebral fissures,Upslanted palpebral fissure
HP:0000527,HP:0010764,t,t,f,Long eyelashes,Short eyelashes
HP:0000568,HP:0001090,t,f,f,Microphthalmia,Abnormally large globe
HP:0000571,HP:0007338,f,t,f,Hypometric saccades,Hypermetric saccades
HP:0000574,HP:0045074,t,t,f,Thick eyebrow,Thin eyebrow
HP:0000581,HP:0000637,f,t,f,Blepharophimosis,Long palpebral fissure
HP:0000592,HP:0030823,t,f,f,Blue sclerae,Scleral thickening
HP:0000594,HP:0007765,f,t,f,Shallow anterior chamber,Deep anterior chamber
HP:0000599,HP:0030141,f,t,f,Abnormality of the frontal hairline,Abnormality of the posterior hairline
HP:0000633,HP:0009926,f,t,f,Decreased lacrimation,Epiphora
HP:0000637,HP:0012745,t,t,f,Long palpebral fissure,Short palpebral fissure
HP:0000637,HP:0045025,f,t,f,Long palpebral fissure,Narrow palpebral fissure
HP:0000653,HP:0011231,f,t,f,Sparse eyelashes,Prominent eyelashes
HP:0000668,HP:0011069,f,t,f,Hypodontia,Supernumerary tooth
HP:0000684,HP:0006288,f,t,f,Delayed eruption of teeth,Advanced eruption of teeth
HP:0000691,HP:0001572,t,t,f,Microdontia,Macrodontia
HP:0000778,HP:0010516,t,t,f,Hypoplasia of the thymus,Thymus hyperplasia
HP:0000790,HP:0001882,t,f,f,Hematuria,Leukopenia
HP:0000790,HP:0001888,t,f,f,Hematuria,Lymphopenia
HP:0000790,HP:0001913,t,f,f,Hematuria,Granulocytopenia
HP:0000790,HP:0001943,t,f,f,Hematuria,Hypoglycemia
HP:0000790,HP:0001988,t,f,f,Hematuria,Recurrent hypoglycemia
HP:0000790,HP:0002148,t,f,f,Hematuria,Hypophosphatemia
HP:0000790,HP:0002720,t,f,f,Hematuria,Decreased circulating IgA concentration
HP:0000790,HP:0002850,t,f,f,Hematuria,Decreased circulating total IgM
HP:0000790,HP:0002900,t,f,f,Hematuria,Hypokalemia
HP:0000790,HP:0002901,t,f,f,Hematuria,Hypocalcemia
HP:0000790,HP:0002902,t,f,f,Hematuria,Hyponatremia
HP:0000790,HP:0002917,t,f,f,Hematuria,Hypomagnesemia
HP:0000790,HP:0002920,t,f,f,Hematuria,Decreased circulating ACTH concentration
HP:0000790,HP:0003073,t,f,f,Hematuria,Hypoalbuminemia
HP:0000790,HP:0003075,t,f,f,Hematuria,Hypoproteinemia
HP:0000790,HP:0003113,t,f,f,Hematuria,Hypochloremia
HP:0000790,HP:0003127,t,f,f,Hematuria,Hypocalciuria
HP:0000790,HP:0003146,t,f,f,Hematuria,Hypocholesterolemia
HP:0000790,HP:0003233,t,f,f,Hematuria,Decreased HDL cholesterol concentration
HP:0000790,HP:0003234,t,f,f,Hematuria,Decreased circulating carnitine concentration
HP:0000790,HP:0003292,t,f,f,Hematuria,Decreased serum leptin
HP:0000790,HP:0003351,t,f,f,Hematuria,Decreased circulating renin concentration
HP:0000790,HP:0003359,t,f,f,Hematuria,Decreased urinary sulfate
HP:0000790,HP:0003537,t,f,f,Hematuria,Hypouricemia
HP:0000790,HP:0003563,t,f,f,Hematuria,Decreased LDL cholesterol concentration
HP:0000790,HP:0003572,t,f,f,Hematuria,Low plasma citrulline
HP:0000790,HP:0003658,t,f,f,Hematuria,Hypomethioninemia
HP:0000790,HP:0004313,t,f,f,Hematuria,Decreased circulating antibody concentration
HP:0000790,HP:0004315,t,f,f,Hematuria,Decreased circulating IgG concentration
