id1,term1,id2,term2,logical,text,inherit,claude,deepseek,gemini,grok,llama,openai,pct_yes,majority
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,t,f,f,yes,yes,yes,yes,yes,no,0.83,t
HP:0005257,Thoracic hypoplasia,HP:0100625,Enlarged thorax,f,t,f,no,no,yes,yes,yes,yes,0.67,t
HP:0100058,Enlarged epiphyses of the 3rd toe,HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,t,f,f,no,yes,no,no,no,no,0.17,f
HP:0007410,Palmoplantar hyperhidrosis,HP:0034012,Palmoplantar hypohidrosis,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0012559,Increased T3/T4 ratio,HP:0012560,Decreased T3/T4 ratio,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030088,Increased serum testosterone level,HP:0030349,Decreased circulating androgen concentration,t,f,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0010049,Short metacarpal,HP:0010493,Long metacarpals,t,t,f,no,no,yes,yes,yes,yes,0.67,t
HP:0006610,Wide intermamillary distance,HP:0040158,Short intermamillary distance,t,f,f,yes,yes,no,yes,yes,yes,0.83,t
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,t,f,f,no,no,no,no,no,no,0.00,f
HP:0010913,Hyperisoleucinemia,HP:0500143,Hypoleucinemia,t,f,f,no,no,no,yes,no,yes,0.33,f
HP:0010980,Hyperlipoproteinemia,HP:0010981,Hypolipoproteinemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0100080,Enlarged epiphyses of the 5th toe,HP:0100210,Small epiphysis of the distal phalanx of the 5th toe,t,f,f,no,yes,no,yes,no,no,0.33,f
HP:0033155,Elevated circulating L-alloisoleucine concentration,HP:0500144,Hypoisoleucinemia,t,f,f,yes,no,yes,no,yes,yes,0.67,t
