hpo_id1,hpo_term1,hpo_id2,hpo_term2,similarity_score
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,0.8146
HP:0000093,Proteinuria,HP:0003127,Hypocalciuria,0.8475
HP:0000093,Proteinuria,HP:0003359,Decreased urinary sulfate,0.7994
HP:0000093,Proteinuria,HP:0011935,Decreased urinary urate,0.8273
HP:0000093,Proteinuria,HP:0012364,Decreased urinary potassium,0.8289
HP:0000093,Proteinuria,HP:0012365,Hypophosphaturia,0.8050
HP:0000093,Proteinuria,HP:0012403,Decreased urine alpha-ketoglutarate concentration,0.7729
HP:0000093,Proteinuria,HP:0012405,Hypocitraturia,0.8312
HP:0000093,Proteinuria,HP:0012601,Hypochloriduria,0.8504
HP:0000093,Proteinuria,HP:0012604,Hyponatriuria,0.8616
HP:0000093,Proteinuria,HP:0012609,Hypomagnesiuria,0.8239
HP:0000093,Proteinuria,HP:0040426,Decreased urinary hypoxanthine level,0.7884
HP:0000093,Proteinuria,HP:0045011,Decreased urine bicarbonate concentration,0.7928
HP:0000093,Proteinuria,HP:0045012,Decreased urinary catecholamine concentration,0.7861
HP:0000093,Proteinuria,HP:0045035,Decreased urinary copper concentration,0.8095
HP:0000093,Proteinuria,HP:0410055,Decreased level of erythritol in urine,0.7497
HP:0000093,Proteinuria,HP:0410060,Decreased level of D-mannose in urine,0.7705
HP:0000093,Proteinuria,HP:0410314,Decreased urinary 1-methylhistidine,0.8000
HP:0000093,Proteinuria,HP:0410318,Decreased urinary 3-methylhistidine,0.8010
HP:0000107,Renal cyst,HP:0010685,Low alkaline phosphatase of renal origin,0.8479
HP:0000122,Unilateral renal agenesis,HP:0010685,Low alkaline phosphatase of renal origin,0.8593
HP:0000158,Macroglossia,HP:0000171,Microglossia,0.9375
HP:0000160,Narrow mouth,HP:0000154,Wide mouth,0.9497
HP:0000238,Hydrocephalus,HP:0012446,Decreased CSF 5-methyltetrahydrofolate concentration,0.8087
HP:0000238,Hydrocephalus,HP:0012656,Reduced CSF dopamine concentration,0.7969
HP:0000238,Hydrocephalus,HP:0025457,Decreased CSF protein concentration,0.7926
HP:0000238,Hydrocephalus,HP:0025458,Decreased CSF albumin concentration,0.7959
HP:0000238,Hydrocephalus,HP:0030086,Reduced CSF lactate,0.8032
HP:0000238,Hydrocephalus,HP:0040205,Decreased CSF neopterin level,0.7918
HP:0000238,Hydrocephalus,HP:0040209,Decreased CSF biopterin level,0.7955
HP:0000238,Hydrocephalus,HP:0410056,Decreased CSF erythritol concentration,0.7984
HP:0000238,Hydrocephalus,HP:0410209,Folate deficiency in CSF,0.8176
HP:0000238,Hydrocephalus,HP:0500188,Decreased CSF valine concentration,0.7915
HP:0000238,Hydrocephalus,HP:0500190,Decreased CSF leucine concentration,0.7955
HP:0000238,Hydrocephalus,HP:0500194,Decreased CSF isoleucine concentration,0.8061
HP:0000238,Hydrocephalus,HP:0500198,Decreased CSF glutamine concentration,0.8023
HP:0000238,Hydrocephalus,HP:0500201,Decreased CSF glutamate concentration,0.8004
HP:0000238,Hydrocephalus,HP:0500204,Decreased CSF arginine concentration,0.7926
HP:0000238,Hydrocephalus,HP:0500207,Decreased CSF lysine concentration,0.7889
HP:0000238,Hydrocephalus,HP:0500213,Decreased CSF threonine concentration,0.7867
HP:0000238,Hydrocephalus,HP:0500221,Decreased CSF tyrosine concentration,0.7984
HP:0000238,Hydrocephalus,HP:0500224,Decreased CSF phenylalanine concentration,0.8073
HP:0000238,Hydrocephalus,HP:0500228,Decreased CSF serine concentration,0.7853
HP:0000238,Hydrocephalus,HP:0500234,Decreased CSF alanine concentration,0.7979
HP:0000238,Hydrocephalus,HP:0500237,Decreased CSF histidine concentration,0.7856
HP:0000239,Large fontanelles,HP:0005486,Small fontanelle,0.9768
HP:0000248,Brachycephaly,HP:0000268,Dolichocephaly,0.8848
HP:0000275,Narrow face,HP:0000283,Broad face,0.9378
HP:0000276,Long face,HP:0011219,Short face,0.9748
HP:0000292,Loss of facial adipose tissue,HP:0000287,Increased facial adipose tissue,0.9453
HP:0000292,Loss of facial adipose tissue,HP:0000287,Increased facial adipose tissue,0.9453
HP:0000293,Full cheeks,HP:0009938,Sunken cheeks,0.6669
HP:0000316,Hypertelorism,HP:0000601,Hypotelorism,0.8740
HP:0000341,Narrow forehead,HP:0000337,Broad forehead,0.8724
HP:0000343,Long philtrum,HP:0000322,Short philtrum,0.9818
HP:0000391,Thickened helices,HP:0009905,Thin ear helix,0.8225
HP:0000421,Epistaxis,HP:0009932,Single naris,0.7917
HP:0000460,Narrow nose,HP:0000445,Wide nose,0.9059
HP:0000472,Long neck,HP:0000470,Short neck,0.9556
HP:0000485,Megalocornea,HP:0000482,Microcornea,0.9239
HP:0000527,Long eyelashes,HP:0010764,Short eyelashes,0.9886
HP:0000574,Thick eyebrow,HP:0045074,Thin eyebrow,0.9300
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,0.9963
HP:0000790,Hematuria,HP:0001882,Leukopenia,0.8838
HP:0000790,Hematuria,HP:0001888,Lymphopenia,0.8492
HP:0000790,Hematuria,HP:0001913,Granulocytopenia,0.8434
HP:0000790,Hematuria,HP:0001943,Hypoglycemia,0.8447
HP:0000790,Hematuria,HP:0001988,Recurrent hypoglycemia,0.8381
HP:0000790,Hematuria,HP:0002148,Hypophosphatemia,0.8075
HP:0000790,Hematuria,HP:0002720,Decreased circulating IgA concentration,0.7906
HP:0000790,Hematuria,HP:0002850,Decreased circulating total IgM,0.8121
HP:0000790,Hematuria,HP:0002900,Hypokalemia,0.8273
HP:0000790,Hematuria,HP:0002901,Hypocalcemia,0.8259
HP:0000790,Hematuria,HP:0002902,Hyponatremia,0.8283
HP:0000790,Hematuria,HP:0002917,Hypomagnesemia,0.8014
HP:0000790,Hematuria,HP:0002920,Decreased circulating ACTH concentration,0.8015
HP:0000790,Hematuria,HP:0003073,Hypoalbuminemia,0.8309
HP:0000790,Hematuria,HP:0003075,Hypoproteinemia,0.8401
HP:0000790,Hematuria,HP:0003113,Hypochloremia,0.8124
HP:0000790,Hematuria,HP:0003127,Hypocalciuria,0.8322
HP:0000790,Hematuria,HP:0003146,Hypocholesterolemia,0.7858
HP:0000790,Hematuria,HP:0003233,Decreased HDL cholesterol concentration,0.8212
HP:0000790,Hematuria,HP:0003234,Decreased circulating carnitine concentration,0.7873
HP:0000790,Hematuria,HP:0003292,Decreased serum leptin,0.8286
HP:0000790,Hematuria,HP:0003351,Decreased circulating renin concentration,0.7954
HP:0000790,Hematuria,HP:0003359,Decreased urinary sulfate,0.8369
HP:0000790,Hematuria,HP:0003537,Hypouricemia,0.8361
HP:0000790,Hematuria,HP:0003563,Decreased LDL cholesterol concentration,0.7996
HP:0000790,Hematuria,HP:0003572,Low plasma citrulline,0.8280
HP:0000790,Hematuria,HP:0003658,Hypomethioninemia,0.8257
HP:0000790,Hematuria,HP:0004313,Decreased circulating antibody concentration,0.8016
HP:0000790,Hematuria,HP:0004315,Decreased circulating IgG concentration,0.7992
HP:0000790,Hematuria,HP:0004319,Decreased circulating aldosterone concentration,0.7852
HP:0000790,Hematuria,HP:0005479,Decreased circulating IgE concentration,0.7842
HP:0000790,Hematuria,HP:0005510,Transient erythroblastopenia,0.8374
HP:0000790,Hematuria,HP:0005961,Hypoargininemia,0.8560
HP:0000790,Hematuria,HP:0008163,Decreased circulating cortisol level,0.8109
HP:0000790,Hematuria,HP:0010837,Decreased circulating ceruloplasmin concentration,0.7764
HP:0000790,Hematuria,HP:0010981,Hypolipoproteinemia,0.8250
HP:0000790,Hematuria,HP:0011935,Decreased urinary urate,0.8700
HP:0000790,Hematuria,HP:0011967,Decreased circulating copper concentration,0.7829
HP:0000790,Hematuria,HP:0012052,Low serum calcitriol,0.7790
HP:0000790,Hematuria,HP:0012053,Decreased circulating calcifediol concentration,0.7629
HP:0000790,Hematuria,HP:0012101,Decreased serum creatinine,0.8045
HP:0000790,Hematuria,HP:0012153,Hypotriglyceridemia,0.8129
HP:0000790,Hematuria,HP:0012277,Hypoglycinemia,0.8447
HP:0000790,Hematuria,HP:0012279,Hyposerinemia,0.8695
HP:0000790,Hematuria,HP:0012364,Decreased urinary potassium,0.8520
HP:0000790,Hematuria,HP:0012365,Hypophosphaturia,0.8024
HP:0000790,Hematuria,HP:0012403,Decreased urine alpha-ketoglutarate concentration,0.7732
HP:0000790,Hematuria,HP:0012405,Hypocitraturia,0.8390
HP:0000790,Hematuria,HP:0012417,Hypocapnia,0.7892
HP:0000790,Hematuria,HP:0012418,Hypoxemia,0.8707
HP:0000790,Hematuria,HP:0012601,Hypochloriduria,0.8531
HP:0000790,Hematuria,HP:0012604,Hyponatriuria,0.8610
HP:0000790,Hematuria,HP:0012609,Hypomagnesiuria,0.8285
HP:0000790,Hematuria,HP:0020222,Hypohomocysteinemia,0.7930
HP:0000790,Hematuria,HP:0030339,Decreased circulating gonadotropin concentration,0.7850
HP:0000790,Hematuria,HP:0030344,Decreased circulating luteinizing hormone level,0.8029
HP:0000790,Hematuria,HP:0030349,Decreased circulating androgen concentration,0.7955
HP:0000790,Hematuria,HP:0030689,Decreased glucagon level,0.8103
HP:0000790,Hematuria,HP:0030985,Decreased serum bile acid concentration,0.8164
HP:0000790,Hematuria,HP:0031242,Decreased circulating chylomicron concentration,0.7779
HP:0000790,Hematuria,HP:0031243,Decreased VLDL cholesterol concentration,0.8037
HP:0000790,Hematuria,HP:0031794,Decreased circulating glycerol level,0.7816
HP:0000790,Hematuria,HP:0031891,Decreased eosinophil count,0.8199
HP:0000790,Hematuria,HP:0031969,Reduced blood urea nitrogen,0.8342
HP:0000790,Hematuria,HP:0032098,Hypomanganesemia,0.8401
HP:0000790,Hematuria,HP:0032210,Decreased circulating free T3,0.8082
HP:0000790,Hematuria,HP:0032363,Decreased circulating corticosterone level,0.7952
HP:0000790,Hematuria,HP:0033445,Reduced circulating acylcarnitine concentration,0.7606
HP:0000790,Hematuria,HP:0033480,Hypobilirubinemia,0.8024
HP:0000790,Hematuria,HP:0034203,Decreased iduronate sulfatase level,0.7984
HP:0000790,Hematuria,HP:0034292,Reduced circulating creatine concentration,0.7969
HP:0000790,Hematuria,HP:0034441,Decreased circulating aspartic acid concentration,0.7871
HP:0000790,Hematuria,HP:0034869,Reduced erythrocyte free porphyrin concentration,0.7901
HP:0000790,Hematuria,HP:0034870,Reduced circulating urocanic acid concentration,0.7850
HP:0000790,Hematuria,HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,0.7818
HP:0000790,Hematuria,HP:0034938,Decreased circulating sialic acid concentration,0.7822
HP:0000790,Hematuria,HP:0040171,Decreased serum testosterone concentration,0.8190
HP:0000790,Hematuria,HP:0040216,Hypoinsulinemia,0.8370
HP:0000790,Hematuria,HP:0040426,Decreased urinary hypoxanthine level,0.8510
HP:0000790,Hematuria,HP:0045011,Decreased urine bicarbonate concentration,0.8016
HP:0000790,Hematuria,HP:0045012,Decreased urinary catecholamine concentration,0.8307
HP:0000790,Hematuria,HP:0045014,Hypolipidemia,0.8411
HP:0000790,Hematuria,HP:0045035,Decreased urinary copper concentration,0.8306
HP:0000790,Hematuria,HP:0100493,Hypoammonemia,0.8582
HP:0000790,Hematuria,HP:0100507,Reduced blood folate concentration,0.8131
HP:0000790,Hematuria,HP:0410055,Decreased level of erythritol in urine,0.8209
HP:0000790,Hematuria,HP:0410060,Decreased level of D-mannose in urine,0.8000
HP:0000790,Hematuria,HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,0.8050
HP:0000790,Hematuria,HP:0410245,Decreased circulating IgD concentration,0.8064
HP:0000790,Hematuria,HP:0410289,Hypoamylasemia,0.8295
HP:0000790,Hematuria,HP:0410314,Decreased urinary 1-methylhistidine,0.8413
HP:0000790,Hematuria,HP:0410318,Decreased urinary 3-methylhistidine,0.8425
HP:0000790,Hematuria,HP:0410343,Decreased circulating heparan sulfate level,0.7861
HP:0000790,Hematuria,HP:0430073,Decreased circulating beta-carotene concentration,0.7884
HP:0000790,Hematuria,HP:0500132,Hypovalinemia,0.8576
HP:0000790,Hematuria,HP:0500133,Hypotyrosinemia,0.8318
HP:0000790,Hematuria,HP:0500135,Hypotryptophanemia,0.8458
HP:0000790,Hematuria,HP:0500136,Hypothreoninemia,0.8671
HP:0000790,Hematuria,HP:0500139,Hypoprolinemia,0.8428
HP:0000790,Hematuria,HP:0500140,Decreased circulating hydroxyproline concentration,0.7661
HP:0000790,Hematuria,HP:0500141,Hypophenylalaninemia,0.8093
HP:0000790,Hematuria,HP:0500142,Hypolysinemia,0.8299
HP:0000790,Hematuria,HP:0500143,Hypoleucinemia,0.8621
HP:0000790,Hematuria,HP:0500144,Hypoisoleucinemia,0.8260
HP:0000790,Hematuria,HP:0500145,Hypohistidinemia,0.8215
HP:0000790,Hematuria,HP:0500147,Hypoglutaminemia,0.8416
HP:0000790,Hematuria,HP:0500150,Hypoglutamatemia,0.8246
HP:0000790,Hematuria,HP:0500152,Hypocystinemia,0.8636
HP:0000790,Hematuria,HP:0500154,Hypoalaninemia,0.8433
HP:0000790,Hematuria,HP:0500157,Hypoasparaginemia,0.8348
HP:0000790,Hematuria,HP:0500162,Decreased circulating carnosine concentration,0.7812
HP:0000790,Hematuria,HP:0500163,Hypoornithinemia,0.8468
HP:0000790,Hematuria,HP:0500182,Hypotaurinemia,0.8803
HP:0000799,Renal steatosis,HP:0010685,Low alkaline phosphatase of renal origin,0.8718
HP:0000821,Hypothyroidism,HP:0000836,Hyperthyroidism,0.9712
HP:0000837,Increased circulating gonadotropin level,HP:0001882,Leukopenia,0.7803
HP:0000837,Increased circulating gonadotropin level,HP:0001888,Lymphopenia,0.7774
HP:0000837,Increased circulating gonadotropin level,HP:0001913,Granulocytopenia,0.8072
HP:0000837,Increased circulating gonadotropin level,HP:0001943,Hypoglycemia,0.8184
HP:0000837,Increased circulating gonadotropin level,HP:0001988,Recurrent hypoglycemia,0.8322
HP:0000837,Increased circulating gonadotropin level,HP:0002148,Hypophosphatemia,0.8017
HP:0000837,Increased circulating gonadotropin level,HP:0002720,Decreased circulating IgA concentration,0.8210
HP:0000837,Increased circulating gonadotropin level,HP:0002850,Decreased circulating total IgM,0.7980
HP:0000837,Increased circulating gonadotropin level,HP:0002900,Hypokalemia,0.7614
HP:0000837,Increased circulating gonadotropin level,HP:0002901,Hypocalcemia,0.7974
HP:0000837,Increased circulating gonadotropin level,HP:0002902,Hyponatremia,0.7921
HP:0000837,Increased circulating gonadotropin level,HP:0002917,Hypomagnesemia,0.8098
HP:0000837,Increased circulating gonadotropin level,HP:0002920,Decreased circulating ACTH concentration,0.8372
HP:0000837,Increased circulating gonadotropin level,HP:0003073,Hypoalbuminemia,0.8417
HP:0000837,Increased circulating gonadotropin level,HP:0003075,Hypoproteinemia,0.8039
HP:0000837,Increased circulating gonadotropin level,HP:0003113,Hypochloremia,0.7885
HP:0000837,Increased circulating gonadotropin level,HP:0003146,Hypocholesterolemia,0.8131
HP:0000837,Increased circulating gonadotropin level,HP:0003233,Decreased HDL cholesterol concentration,0.8670
HP:0000837,Increased circulating gonadotropin level,HP:0003234,Decreased circulating carnitine concentration,0.8818
HP:0000837,Increased circulating gonadotropin level,HP:0003292,Decreased serum leptin,0.8416
HP:0000837,Increased circulating gonadotropin level,HP:0003351,Decreased circulating renin concentration,0.8687
HP:0000837,Increased circulating gonadotropin level,HP:0003537,Hypouricemia,0.7911
HP:0000837,Increased circulating gonadotropin level,HP:0003563,Decreased LDL cholesterol concentration,0.8518
HP:0000837,Increased circulating gonadotropin level,HP:0003572,Low plasma citrulline,0.8469
HP:0000837,Increased circulating gonadotropin level,HP:0003658,Hypomethioninemia,0.8356
HP:0000837,Increased circulating gonadotropin level,HP:0004313,Decreased circulating antibody concentration,0.8738
HP:0000837,Increased circulating gonadotropin level,HP:0004315,Decreased circulating IgG concentration,0.8395
