hpo_id1,hpo_term1,hpo_id2,hpo_term2,similarity_score,inverse_verified_by_llm
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,0.8146,t
HP:0000093,Proteinuria,HP:0003127,Hypocalciuria,0.8475,f
HP:0000093,Proteinuria,HP:0003359,Decreased urinary sulfate,0.7994,f
HP:0000093,Proteinuria,HP:0011935,Decreased urinary urate,0.8273,f
HP:0000093,Proteinuria,HP:0012364,Decreased urinary potassium,0.8289,f
HP:0000093,Proteinuria,HP:0012365,Hypophosphaturia,0.8050,f
HP:0000093,Proteinuria,HP:0012403,Decreased urine alpha-ketoglutarate concentration,0.7729,f
HP:0000093,Proteinuria,HP:0012405,Hypocitraturia,0.8312,f
HP:0000093,Proteinuria,HP:0012601,Hypochloriduria,0.8504,f
HP:0000093,Proteinuria,HP:0012604,Hyponatriuria,0.8616,f
HP:0000093,Proteinuria,HP:0012609,Hypomagnesiuria,0.8239,f
HP:0000093,Proteinuria,HP:0040426,Decreased urinary hypoxanthine level,0.7884,f
HP:0000093,Proteinuria,HP:0045011,Decreased urine bicarbonate concentration,0.7928,f
HP:0000093,Proteinuria,HP:0045012,Decreased urinary catecholamine concentration,0.7861,f
HP:0000093,Proteinuria,HP:0045035,Decreased urinary copper concentration,0.8095,f
HP:0000093,Proteinuria,HP:0410055,Decreased level of erythritol in urine,0.7497,f
HP:0000093,Proteinuria,HP:0410060,Decreased level of D-mannose in urine,0.7705,f
HP:0000093,Proteinuria,HP:0410314,Decreased urinary 1-methylhistidine,0.8000,f
HP:0000093,Proteinuria,HP:0410318,Decreased urinary 3-methylhistidine,0.8010,f
HP:0000107,Renal cyst,HP:0010685,Low alkaline phosphatase of renal origin,0.8479,f
HP:0000122,Unilateral renal agenesis,HP:0010685,Low alkaline phosphatase of renal origin,0.8593,f
HP:0000158,Macroglossia,HP:0000171,Microglossia,0.9375,t
HP:0000160,Narrow mouth,HP:0000154,Wide mouth,0.9497,t
HP:0000238,Hydrocephalus,HP:0012446,Decreased CSF 5-methyltetrahydrofolate concentration,0.8087,f
HP:0000238,Hydrocephalus,HP:0012656,Reduced CSF dopamine concentration,0.7969,f
HP:0000238,Hydrocephalus,HP:0025457,Decreased CSF protein concentration,0.7926,f
HP:0000238,Hydrocephalus,HP:0025458,Decreased CSF albumin concentration,0.7959,f
HP:0000238,Hydrocephalus,HP:0030086,Reduced CSF lactate,0.8032,f
HP:0000238,Hydrocephalus,HP:0040205,Decreased CSF neopterin level,0.7918,f
HP:0000238,Hydrocephalus,HP:0040209,Decreased CSF biopterin level,0.7955,f
HP:0000238,Hydrocephalus,HP:0410056,Decreased CSF erythritol concentration,0.7984,f
HP:0000238,Hydrocephalus,HP:0410209,Folate deficiency in CSF,0.8176,f
HP:0000238,Hydrocephalus,HP:0500188,Decreased CSF valine concentration,0.7915,f
HP:0000238,Hydrocephalus,HP:0500190,Decreased CSF leucine concentration,0.7955,f
HP:0000238,Hydrocephalus,HP:0500194,Decreased CSF isoleucine concentration,0.8061,f
HP:0000238,Hydrocephalus,HP:0500198,Decreased CSF glutamine concentration,0.8023,f
HP:0000238,Hydrocephalus,HP:0500201,Decreased CSF glutamate concentration,0.8004,f
HP:0000238,Hydrocephalus,HP:0500204,Decreased CSF arginine concentration,0.7926,f
HP:0000238,Hydrocephalus,HP:0500207,Decreased CSF lysine concentration,0.7889,f
HP:0000238,Hydrocephalus,HP:0500213,Decreased CSF threonine concentration,0.7867,f
HP:0000238,Hydrocephalus,HP:0500221,Decreased CSF tyrosine concentration,0.7984,f
HP:0000238,Hydrocephalus,HP:0500224,Decreased CSF phenylalanine concentration,0.8073,f
HP:0000238,Hydrocephalus,HP:0500228,Decreased CSF serine concentration,0.7853,f
HP:0000238,Hydrocephalus,HP:0500234,Decreased CSF alanine concentration,0.7979,f
HP:0000238,Hydrocephalus,HP:0500237,Decreased CSF histidine concentration,0.7856,f
HP:0000239,Large fontanelles,HP:0005486,Small fontanelle,0.9768,t
HP:0000248,Brachycephaly,HP:0000268,Dolichocephaly,0.8848,t
HP:0000275,Narrow face,HP:0000283,Broad face,0.9378,t
HP:0000276,Long face,HP:0011219,Short face,0.9748,t
HP:0000292,Loss of facial adipose tissue,HP:0000287,Increased facial adipose tissue,0.9453,t
HP:0000292,Loss of facial adipose tissue,HP:0000287,Increased facial adipose tissue,0.9453,t
HP:0000293,Full cheeks,HP:0009938,Sunken cheeks,0.6669,t
HP:0000316,Hypertelorism,HP:0000601,Hypotelorism,0.8740,t
HP:0000341,Narrow forehead,HP:0000337,Broad forehead,0.8724,t
HP:0000343,Long philtrum,HP:0000322,Short philtrum,0.9818,t
HP:0000391,Thickened helices,HP:0009905,Thin ear helix,0.8225,t
HP:0000421,Epistaxis,HP:0009932,Single naris,0.7917,f
HP:0000460,Narrow nose,HP:0000445,Wide nose,0.9059,t
HP:0000472,Long neck,HP:0000470,Short neck,0.9556,t
HP:0000485,Megalocornea,HP:0000482,Microcornea,0.9239,t
HP:0000527,Long eyelashes,HP:0010764,Short eyelashes,0.9886,t
HP:0000574,Thick eyebrow,HP:0045074,Thin eyebrow,0.9300,t
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,0.9963,t
HP:0000790,Hematuria,HP:0001882,Leukopenia,0.8838,f
HP:0000790,Hematuria,HP:0001888,Lymphopenia,0.8492,f
HP:0000790,Hematuria,HP:0001913,Granulocytopenia,0.8434,f
