id1,term1,id2,term2,claude,deepseek,gemini,grok,llama,openai,pct_yes,majority
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,yes,no,yes,yes,yes,yes,0.83,t
HP:0000059,Hypoplastic labia majora,HP:0012882,Hyperplastic labia majora,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000093,Proteinuria,HP:0003127,Hypocalciuria,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0003359,Decreased urinary sulfate,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0011935,Decreased urinary urate,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012364,Decreased urinary potassium,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012365,Hypophosphaturia,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012403,Decreased urine alpha-ketoglutarate concentration,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012405,Hypocitraturia,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012601,Hypochloriduria,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012604,Hyponatriuria,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0012609,Hypomagnesiuria,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0040426,Decreased urinary hypoxanthine level,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0045011,Decreased urine bicarbonate concentration,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0045012,Decreased urinary catecholamine concentration,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0045035,Decreased urinary copper concentration,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0410055,Decreased level of erythritol in urine,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0410060,Decreased level of D-mannose in urine,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0410314,Decreased urinary 1-methylhistidine,no,no,no,no,no,no,0.00,f
HP:0000093,Proteinuria,HP:0410318,Decreased urinary 3-methylhistidine,no,no,no,no,no,no,0.00,f
HP:0000098,Tall stature,HP:0004322,Short stature,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000107,Renal cyst,HP:0010685,Low alkaline phosphatase of renal origin,no,no,no,no,no,no,0.00,f
HP:0000122,Unilateral renal agenesis,HP:0010685,Low alkaline phosphatase of renal origin,no,no,no,no,no,no,0.00,f
HP:0000154,Wide mouth,HP:0000160,Narrow mouth,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000158,Macroglossia,HP:0000171,Microglossia,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000188,Short upper lip,HP:0011341,Long upper lip,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000238,Hydrocephalus,HP:0012446,Decreased CSF 5-methyltetrahydrofolate concentration,no,no,no,no,no,no,0.00,f
HP:0000238,Hydrocephalus,HP:0012656,Reduced CSF dopamine concentration,no,no,no,no,no,no,0.00,f
HP:0000238,Hydrocephalus,HP:0025457,Decreased CSF protein concentration,no,no,no,no,no,no,0.00,f
HP:0000238,Hydrocephalus,HP:0025458,Decreased CSF albumin concentration,no,no,no,no,no,no,0.00,f
HP:0000238,Hydrocephalus,HP:0030086,Reduced CSF lactate,no,no,no,no,no,no,0.00,f
