id1,id2,logical,text,inherit,term1,term2
HP:0000040,HP:0000054,f,t,f,Long penis,Micropenis
HP:0000053,HP:0008734,t,t,f,Macroorchidism,Decreased testicular size
HP:0000059,HP:0012882,t,t,f,Hypoplastic labia majora,Hyperplastic labia majora
HP:0000089,HP:0000105,f,t,f,Renal hypoplasia,Enlarged kidney
HP:0000117,HP:0005571,f,t,f,Renal phosphate wasting,Increased renal tubular phosphate reabsorption
HP:0000154,HP:0000160,t,t,f,Wide mouth,Narrow mouth
HP:0000158,HP:0000171,t,t,f,Macroglossia,Microglossia
HP:0000158,HP:0012473,f,t,f,Macroglossia,Tongue atrophy
HP:0000179,HP:0010282,f,t,f,Thick lower lip vermilion,Thin lower lip vermilion
HP:0000188,HP:0011341,t,t,f,Short upper lip,Long upper lip
HP:0000215,HP:0000219,f,t,f,Thick upper lip vermilion,Thin upper lip vermilion
HP:0000233,HP:0012471,f,t,f,Thin vermilion border,Thick vermilion border
HP:0000239,HP:0005486,t,t,f,Large fontanelles,Small fontanelle
HP:0000248,HP:0000268,t,t,f,Brachycephaly,Dolichocephaly
HP:0000252,HP:0000256,f,t,f,Microcephaly,Macrocephaly
HP:0000252,HP:0040194,f,t,f,Microcephaly,Increased head circumference
HP:0000253,HP:0004481,t,t,f,Progressive microcephaly,Progressive macrocephaly
HP:0000255,HP:0011109,f,t,f,Acute sinusitis,Chronic sinusitis
HP:0000237,HP:0000260,f,t,f,Small anterior fontanelle,Wide anterior fontanel
HP:0000272,HP:0010620,f,t,f,Malar flattening,Malar prominence
HP:0000274,HP:0100729,t,t,f,Small face,Large face
HP:0000275,HP:0000283,t,t,f,Narrow face,Broad face
HP:0000276,HP:0011219,t,t,f,Long face,Short face
HP:0000287,HP:0009019,f,t,f,Increased facial adipose tissue,Progressive loss of facial adipose tissue
HP:0000289,HP:0011829,f,t,f,Broad philtrum,Narrow philtrum
HP:0000287,HP:0000292,t,t,f,Increased facial adipose tissue,Loss of facial adipose tissue
HP:0000294,HP:0009890,f,t,f,Low anterior hairline,High anterior hairline
HP:0000303,HP:0000347,f,t,f,Mandibular prognathia,Micrognathia
HP:0000316,HP:0000601,t,t,f,Hypertelorism,Hypotelorism
HP:0000319,HP:0002002,f,t,f,Smooth philtrum,Deep philtrum
HP:0000322,HP:0000343,t,t,f,Short philtrum,Long philtrum
HP:0000327,HP:0430028,t,t,f,Hypoplasia of the maxilla,Hyperplasia of the maxilla
HP:0000331,HP:0400000,t,t,f,Short chin,Tall chin
HP:0000336,HP:0009891,f,t,f,Prominent supraorbital ridges,Underdeveloped supraorbital ridges
HP:0000337,HP:0000341,t,t,f,Broad forehead,Narrow forehead
HP:0000350,HP:0002003,t,t,f,Small forehead,Large forehead
HP:0000371,HP:0000389,f,t,f,Acute otitis media,Chronic otitis media
HP:0000400,HP:0008551,f,t,f,Macrotia,Microtia
HP:0000418,HP:0012811,f,t,f,Narrow nasal ridge,Wide nasal ridge
HP:0000426,HP:0005280,f,t,f,Prominent nasal bridge,Depressed nasal bridge
HP:0000431,HP:0000446,f,t,f,Wide nasal bridge,Narrow nasal bridge
HP:0000444,HP:0011120,f,t,f,Convex nasal ridge,Concave nasal ridge
HP:0000445,HP:0000460,t,t,f,Wide nose,Narrow nose
HP:0000455,HP:0011832,f,t,f,Broad nasal tip,Narrow nasal tip
HP:0000470,HP:0000472,t,t,f,Short neck,Long neck
HP:0000482,HP:0000485,t,t,f,Microcornea,Megalocornea
HP:0000494,HP:0000582,f,t,f,Downslanted palpebral fissures,Upslanted palpebral fissure
HP:0000527,HP:0010764,t,t,f,Long eyelashes,Short eyelashes
HP:0000571,HP:0007338,f,t,f,Hypometric saccades,Hypermetric saccades
HP:0000574,HP:0045074,t,t,f,Thick eyebrow,Thin eyebrow
HP:0000581,HP:0000637,f,t,f,Blepharophimosis,Long palpebral fissure
HP:0000594,HP:0007765,f,t,f,Shallow anterior chamber,Deep anterior chamber
HP:0000637,HP:0045025,f,t,f,Long palpebral fissure,Narrow palpebral fissure
HP:0000637,HP:0012745,t,t,f,Long palpebral fissure,Short palpebral fissure
HP:0000653,HP:0011231,f,t,f,Sparse eyelashes,Prominent eyelashes
HP:0000668,HP:0011069,f,t,f,Hypodontia,Supernumerary tooth
HP:0000684,HP:0006288,f,t,f,Delayed eruption of teeth,Advanced eruption of teeth
HP:0000691,HP:0001572,t,t,f,Microdontia,Macrodontia
HP:0000778,HP:0010516,t,t,f,Hypoplasia of the thymus,Thymus hyperplasia
HP:0000821,HP:0000836,t,t,f,Hypothyroidism,Hyperthyroidism
HP:0000822,HP:0002615,t,t,f,Hypertension,Hypotension
HP:0000829,HP:0000843,t,t,f,Hypoparathyroidism,Hyperparathyroidism
HP:0000835,HP:0008221,f,t,f,Adrenal hypoplasia,Adrenal hyperplasia
HP:0000842,HP:0040216,t,t,f,Hyperinsulinemia,Hypoinsulinemia
HP:0000860,HP:0008208,t,t,f,Parathyroid hypoplasia,Parathyroid hyperplasia
HP:0000870,HP:0008202,f,t,f,Increased circulating prolactin concentration,Reduced circulating prolactin concentration
HP:0000890,HP:0000894,t,t,f,Long clavicles,Short clavicles
HP:0000953,HP:0001010,t,t,f,Hyperpigmentation of the skin,Hypopigmentation of the skin
HP:0000963,HP:0001072,t,t,f,Thin skin,Thickened skin
HP:0000966,HP:0000975,f,t,f,Hypohidrosis,Hyperhidrosis
HP:0000998,HP:0008070,f,t,f,Hypertrichosis,Sparse hair
HP:0001034,HP:0009719,f,t,f,Hypermelanotic macule,Hypomelanotic macule
HP:0001169,HP:0004283,t,t,f,Broad palm,Narrow palm
HP:0001176,HP:0200055,t,t,f,Large hands,Small hand
HP:0001196,HP:0011417,t,t,f,Short umbilical cord,Long umbilical cord
HP:0001238,HP:0001500,f,t,f,Slender finger,Broad finger
HP:0001252,HP:0001276,t,t,f,Hypotonia,Hypertonia
HP:0001265,HP:0001347,f,t,f,Hyporeflexia,Hyperreflexia
HP:0001315,HP:0001347,f,t,f,Reduced tendon reflexes,Hyperreflexia
HP:0001376,HP:0001382,t,t,f,Limitation of joint mobility,Joint hypermobility
HP:0001403,HP:0001414,f,t,f,Macrovesicular hepatic steatosis,Microvesicular hepatic steatosis
HP:0001413,HP:0006577,f,t,f,Micronodular cirrhosis,Macronodular cirrhosis
HP:0001476,HP:0005458,f,t,f,Delayed closure of the anterior fontanelle,Premature closure of fontanelles
HP:0001477,HP:0031706,f,t,f,Compensatory chin elevation,Compensatory chin depression
HP:0001518,HP:0001520,f,t,f,Small for gestational age,Large for gestational age
HP:0001558,HP:0010519,f,t,f,Decreased fetal movement,Increased fetal movement
HP:0001561,HP:0001562,f,t,f,Polyhydramnios,Oligohydramnios
HP:0001611,HP:0100271,f,t,f,Hypernasal speech,Hyponasal speech
HP:0001620,HP:0010300,f,t,f,Abnormally high-pitched voice,Abnormally low-pitched voice
HP:0001640,HP:0001961,f,t,f,Cardiomegaly,Hypoplastic heart
HP:0001649,HP:0001662,f,t,f,Tachycardia,Bradycardia
HP:0001657,HP:0012232,f,t,f,Prolonged QT interval,Shortened QT interval
HP:0001688,HP:0011703,f,t,f,Sinus bradycardia,Sinus tachycardia
HP:0001722,HP:0009805,f,t,f,High-output congestive heart failure,Low-output congestive heart failure
HP:0001735,HP:0006280,f,t,f,Acute pancreatitis,Chronic pancreatitis
HP:0001757,HP:0008573,f,t,f,High-frequency sensorineural hearing impairment,Low-frequency sensorineural hearing impairment
HP:0001769,HP:0001786,f,t,f,Broad foot,Narrow foot
HP:0001773,HP:0001833,f,t,f,Short foot,Long foot
HP:0001821,HP:0011313,t,t,f,Broad nail,Narrow nail
HP:0001831,HP:0010511,t,t,f,Short toe,Long toe
HP:0001837,HP:0011308,f,t,f,Broad toe,Slender toe
HP:0001847,HP:0010109,t,t,f,Long hallux,Short hallux
HP:0001882,HP:0001974,t,t,f,Leukopenia,Leukocytosis
