hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_aws,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_together,inverse_verified_by_llm_google,inverse_verified_by_llm_xai
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,no,yes,yes,yes,yes,yes
HP:0005257,Thoracic hypoplasia,HP:0100625,Enlarged thorax,yes,no,no,yes,yes,yes
HP:0100058,Enlarged epiphyses of the 3rd toe,HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,no,no,yes,no,no,no
HP:0030088,Increased serum testosterone level,HP:0030349,Decreased circulating androgen concentration,yes,yes,no,yes,yes,yes
HP:0010049,Short metacarpal,HP:0010493,Long metacarpals,yes,no,no,yes,yes,yes
HP:0006610,Wide intermamillary distance,HP:0040158,Short intermamillary distance,yes,yes,yes,yes,no,yes
HP:0010913,Hyperisoleucinemia,HP:0500143,Hypoleucinemia,yes,no,no,no,no,yes
HP:0100080,Enlarged epiphyses of the 5th toe,HP:0100210,Small epiphysis of the distal phalanx of the 5th toe,no,no,yes,no,no,yes
HP:0033155,Elevated circulating L-alloisoleucine concentration,HP:0500144,Hypoisoleucinemia,yes,yes,no,yes,yes,no
HP:0000391,Thickened helices,HP:0009905,Thin ear helix,yes,no,no,yes,yes,yes
HP:0001376,Limitation of joint mobility,HP:0010510,Hypermobility of toe joints,yes,no,no,no,no,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,no
HP:0000252,Microcephaly,HP:0040194,Increased head circumference,yes,no,no,yes,yes,yes
HP:0003676,Progressive,HP:0003680,Nonprogressive,yes,yes,no,yes,yes,yes
HP:0010580,Enlarged epiphyses,HP:0100108,Small epiphysis of the distal phalanx of the 2nd toe,no,no,yes,no,no,yes
HP:0034237,Open neural tube defect,HP:0034238,Closed neural tube defect,yes,no,yes,yes,yes,yes
HP:0030357,Small cell lung carcinoma,HP:0030360,Large cell lung carcinoma,no,no,no,yes,yes,yes
HP:0010170,Small epiphyses of the toes,HP:0100080,Enlarged epiphyses of the 5th toe,no,no,no,yes,yes,no
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0005019,Diaphyseal undertubulation,HP:0006470,Thin long bone diaphyses,yes,no,no,no,yes,yes
HP:0031794,Decreased circulating glycerol level,HP:0040302,Hyperglycerolemia,yes,yes,no,yes,yes,yes
HP:0000998,Hypertrichosis,HP:0008070,Sparse hair,yes,yes,no,yes,yes,yes
HP:0002375,Hypokinesia,HP:0002487,Hyperkinetic movements,yes,no,yes,yes,yes,yes
HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0010450,Esophageal stenosis,HP:6000589,Esophageal dilation,yes,yes,no,yes,yes,yes
HP:0001640,Cardiomegaly,HP:0001961,Hypoplastic heart,yes,no,no,yes,yes,yes
HP:0003260,Hydroxyprolinemia,HP:0500140,Decreased circulating hydroxyproline concentration,yes,no,no,yes,yes,yes
HP:0100069,Enlarged epiphyses of the 4th toe,HP:0100199,Small epiphysis of the proximal phalanx of the 4th toe,no,no,yes,yes,no,no
HP:0008839,Hypoplastic pelvis,HP:0010779,Large pelvis bone,yes,no,no,yes,yes,yes
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,yes,no,yes,yes,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,no,yes,yes,yes,yes,yes
HP:0003077,Hyperlipidemia,HP:0031243,Decreased VLDL cholesterol concentration,yes,no,no,no,no,no
HP:0001477,Compensatory chin elevation,HP:0031706,Compensatory chin depression,yes,yes,no,yes,yes,yes
HP:0011009,Acute,HP:0011010,Chronic,no,no,yes,yes,yes,yes
HP:0010170,Small epiphyses of the toes,HP:0010580,Enlarged epiphyses,no,no,no,yes,no,yes
HP:0008948,Proximal upper limb amyotrophy,HP:0040266,Proximal upper limb muscle hypertrophy,yes,yes,no,yes,yes,yes
HP:0000255,Acute sinusitis,HP:0011109,Chronic sinusitis,no,no,no,no,yes,yes
HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0500077,Alternating hyperphoria,HP:0500079,Alternating hypophoria,no,yes,yes,yes,yes,yes
HP:0010580,Enlarged epiphyses,HP:0100052,Small epiphyses of the 2nd toe,no,no,yes,no,no,no
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,yes,no,yes,yes,yes
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes
HP:0033909,Arcuate vein medial hypertrophy,HP:0033910,Arcuate vein medial atrophy,yes,yes,no,yes,yes,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes
HP:0010669,Hypoplasia of the zygomatic bone,HP:0012370,Prominence of the zygomatic bone,yes,no,yes,yes,yes,yes
HP:0008687,Hypoplasia of the prostate,HP:0008711,Benign prostatic hyperplasia,yes,no,no,yes,yes,yes
HP:0002365,Hypoplasia of the brainstem,HP:0012755,Enlarged brainstem,yes,yes,no,yes,yes,yes
HP:0001837,Broad toe,HP:0011308,Slender toe,yes,yes,no,yes,yes,yes
