hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_claude,inverse_verified_by_llm_llama,inverse_verified_by_llm_gemini,inverse_verified_by_llm_grok,inverse_verified_by_llm_qwen
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,yes,no,no,yes,yes,yes,no
HP:0000103,Polyuria,HP:0011037,Decreased urine output,yes,no,yes,yes,yes,yes,yes
HP:0000154,Wide mouth,HP:0000160,Narrow mouth,yes,yes,yes,yes,yes,yes,no
HP:0000253,Progressive microcephaly,HP:0004481,Progressive macrocephaly,yes,yes,yes,yes,yes,yes,no
HP:0000253,Progressive microcephaly,HP:0040194,Increased head circumference,yes,no,no,yes,yes,yes,yes
HP:0000274,Small face,HP:0100729,Large face,yes,yes,yes,yes,yes,yes,no
HP:0000275,Narrow face,HP:0000283,Broad face,yes,yes,yes,yes,yes,yes,no
HP:0000293,Full cheeks,HP:0009938,Sunken cheeks,yes,yes,yes,yes,yes,yes,no
HP:0000322,Short philtrum,HP:0000343,Long philtrum,yes,yes,yes,yes,yes,yes,no
HP:0000327,Hypoplasia of the maxilla,HP:0430028,Hyperplasia of the maxilla,yes,yes,yes,yes,yes,yes,no
HP:0000331,Short chin,HP:0400000,Tall chin,no,no,no,yes,yes,yes,yes
HP:0000337,Broad forehead,HP:0000341,Narrow forehead,yes,yes,yes,yes,yes,yes,no
HP:0000350,Small forehead,HP:0002003,Large forehead,yes,yes,yes,yes,yes,yes,no
HP:0000391,Thickened helices,HP:0009905,Thin ear helix,yes,no,no,yes,yes,yes,no
HP:0000445,Wide nose,HP:0000460,Narrow nose,yes,yes,yes,yes,yes,yes,no
HP:0000470,Short neck,HP:0000472,Long neck,yes,yes,yes,yes,yes,yes,no
HP:0000482,Microcornea,HP:0000485,Megalocornea,yes,yes,yes,yes,yes,yes,no
HP:0000527,Long eyelashes,HP:0010764,Short eyelashes,yes,yes,yes,yes,yes,yes,no
HP:0000568,Microphthalmia,HP:0001090,Abnormally large globe,yes,no,no,yes,yes,yes,no
HP:0000574,Thick eyebrow,HP:0045074,Thin eyebrow,yes,yes,yes,yes,yes,yes,no
HP:0000592,Blue sclerae,HP:0030823,Scleral thickening,yes,no,no,no,no,yes,yes
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,yes,yes,yes,yes,yes,yes,no
HP:0000691,Microdontia,HP:0001572,Macrodontia,yes,yes,yes,yes,yes,yes,no
HP:0000824,Decreased response to growth hormone stimulation test,HP:0000845,Elevated circulating growth hormone concentration,yes,yes,no,no,no,yes,yes
HP:0000859,Increased circulating aldosterone concentration,HP:0004319,Decreased circulating aldosterone concentration,yes,yes,yes,yes,yes,yes,no
HP:0000890,Long clavicles,HP:0000894,Short clavicles,yes,yes,yes,yes,yes,yes,no
HP:0000938,Osteopenia,HP:0005789,Generalized osteosclerosis,yes,no,no,yes,yes,yes,yes
HP:0000938,Osteopenia,HP:0011001,Increased bone mineral density,yes,no,yes,yes,yes,yes,no
HP:0000938,Osteopenia,HP:0011002,Osteopetrosis,yes,yes,yes,no,no,yes,yes
HP:0000954,Single transverse palmar crease,HP:0006114,Multiple palmar creases,yes,no,no,yes,yes,yes,yes
HP:0000977,Soft skin,HP:0030053,Stiff skin,yes,no,yes,yes,yes,yes,no
HP:0001090,Abnormally large globe,HP:0007633,Bilateral microphthalmos,yes,no,no,yes,yes,yes,yes
HP:0001196,Short umbilical cord,HP:0011417,Long umbilical cord,yes,yes,yes,yes,yes,yes,no
HP:0001376,Limitation of joint mobility,HP:0006094,Finger joint hypermobility,yes,no,yes,no,yes,yes,yes
HP:0001376,Limitation of joint mobility,HP:0010510,Hypermobility of toe joints,yes,no,no,no,no,yes,yes
HP:0001513,Obesity,HP:0001824,Weight loss,yes,no,no,no,yes,no,no
HP:0001805,Onychogryphosis,HP:0001816,Thin nail,yes,no,no,yes,no,yes,yes
HP:0001821,Broad nail,HP:0011313,Narrow nail,yes,yes,yes,yes,yes,yes,no
HP:0001824,Weight loss,HP:0004324,Increased body weight,yes,no,yes,yes,yes,yes,yes
HP:0001831,Short toe,HP:0010511,Long toe,yes,yes,yes,yes,yes,yes,no
HP:0001873,Thrombocytopenia,HP:0001894,Thrombocytosis,yes,yes,yes,yes,yes,yes,no
HP:0002000,Short columella,HP:0009765,Low hanging columella,no,no,no,yes,no,yes,yes
HP:0002092,Pulmonary arterial hypertension,HP:0002615,Hypotension,yes,no,no,no,no,no,yes
HP:0002148,Hypophosphatemia,HP:0002905,Hyperphosphatemia,yes,yes,yes,yes,yes,yes,no
HP:0002151,Increased circulating lactate concentration,HP:0030086,Reduced CSF lactate,yes,yes,no,no,no,no,no
HP:0002152,Hyperproteinemia,HP:0025457,Decreased CSF protein concentration,no,no,no,no,yes,no,no
HP:0002153,Hyperkalemia,HP:0012364,Decreased urinary potassium,no,no,no,yes,no,no,no
HP:0002156,Homocystinuria,HP:0020222,Hypohomocysteinemia,yes,no,no,yes,yes,yes,yes
HP:0002159,Heparan sulfate excretion in urine,HP:0410343,Decreased circulating heparan sulfate level,no,no,no,no,no,no,yes
HP:0002161,Hyperlysinemia,HP:0500207,Decreased CSF lysine concentration,yes,no,no,yes,yes,no,no
HP:0002395,Lower limb hyperreflexia,HP:0002600,Hyporeflexia of lower limbs,yes,yes,yes,yes,yes,yes,no
HP:0002677,Small foramen magnum,HP:0002700,Large foramen magnum,yes,yes,yes,yes,yes,yes,no
HP:0002684,Thickened calvaria,HP:0010539,Thin calvarium,yes,yes,yes,yes,yes,yes,no
HP:0002721,Immunodeficiency,HP:0100326,Immunologic hypersensitivity,yes,no,yes,no,yes,yes,yes
HP:0002902,Hyponatremia,HP:0003228,Hypernatremia,yes,yes,yes,yes,yes,yes,no
HP:0002920,Decreased circulating ACTH concentration,HP:0003154,Increased circulating ACTH level,yes,yes,yes,yes,yes,yes,no
HP:0002927,Histidinuria,HP:0500145,Hypohistidinemia,yes,no,no,no,yes,no,yes
HP:0002927,Histidinuria,HP:0500237,Decreased CSF histidine concentration,yes,no,no,no,yes,no,no
HP:0002945,Intervertebral space narrowing,HP:0030320,Increased intervertebral space,yes,no,yes,yes,yes,yes,yes
HP:0002946,Supernumerary vertebrae,HP:0030305,Decreased number of vertebrae,yes,yes,no,yes,yes,yes,no
HP:0003108,Hyperglycinuria,HP:0012277,Hypoglycinemia,no,no,yes,yes,no,no,no
HP:0003109,Hyperphosphaturia,HP:0012365,Hypophosphaturia,yes,yes,yes,yes,yes,yes,no
HP:0003131,Cystinuria,HP:0500152,Hypocystinemia,yes,no,no,no,no,no,no
HP:0003137,Prolinuria,HP:0500139,Hypoprolinemia,yes,no,yes,yes,yes,no,yes
HP:0003138,Increased blood urea nitrogen,HP:0031969,Reduced blood urea nitrogen,yes,yes,yes,yes,yes,yes,no
HP:0003149,Hyperuricosuria,HP:0003537,Hypouricemia,no,no,no,no,yes,no,no
HP:0003155,Elevated circulating alkaline phosphatase concentration,HP:0003282,Decreased circulating alkaline phosphatase activity,yes,yes,no,yes,no,yes,no
HP:0003155,Elevated circulating alkaline phosphatase concentration,HP:0010683,Low tissue non-specific alkaline phosphatase,yes,no,no,no,no,no,no
HP:0003166,Increased urinary taurine,HP:0500182,Hypotaurinemia,yes,no,yes,yes,yes,no,no
HP:0003167,Carnosinuria,HP:0500162,Decreased circulating carnosine concentration,yes,no,no,no,yes,yes,yes
HP:0003194,Short nasal bridge,HP:0033142,Long nasal bridge,yes,yes,yes,yes,yes,yes,no
HP:0003217,Hyperglutaminemia,HP:0500198,Decreased CSF glutamine concentration,yes,no,no,yes,yes,no,no
HP:0003231,Hypertyrosinemia,HP:0500221,Decreased CSF tyrosine concentration,yes,no,no,no,yes,no,no
HP:0003234,Decreased circulating carnitine concentration,HP:0035030,Elevated circulating carnitine concentration,yes,yes,yes,yes,yes,yes,no
HP:0003237,Increased circulating IgG concentration,HP:0004315,Decreased circulating IgG concentration,yes,yes,yes,yes,yes,yes,no
HP:0003260,Hydroxyprolinemia,HP:0500140,Decreased circulating hydroxyproline concentration,yes,no,no,yes,yes,yes,no
HP:0003268,Argininuria,HP:0005961,Hypoargininemia,no,no,no,yes,yes,no,no
HP:0003268,Argininuria,HP:0500204,Decreased CSF arginine concentration,yes,yes,no,yes,yes,no,no
HP:0003281,Increased circulating ferritin concentration,HP:0012343,Decreased circulating ferritin concentration,yes,yes,yes,yes,yes,yes,no
HP:0003282,Decreased circulating alkaline phosphatase activity,HP:0010679,Elevated tissue non-specific alkaline phosphatase,no,no,no,no,no,no,yes
HP:0003296,Hyperthreoninuria,HP:0500136,Hypothreoninemia,yes,no,no,no,no,no,no
HP:0003296,Hyperthreoninuria,HP:0500213,Decreased CSF threonine concentration,yes,no,no,no,yes,no,no
HP:0003297,Hyperlysinuria,HP:0500142,Hypolysinemia,yes,no,no,yes,no,no,yes
HP:0003297,Hyperlysinuria,HP:0500207,Decreased CSF lysine concentration,yes,no,no,no,yes,no,no
HP:0003334,Elevated circulating catecholamine level,HP:0045012,Decreased urinary catecholamine concentration,no,no,no,yes,no,no,yes
HP:0003348,Hyperalaninemia,HP:0500154,Hypoalaninemia,yes,yes,yes,yes,yes,yes,no
HP:0003348,Hyperalaninemia,HP:0500234,Decreased CSF alanine concentration,yes,no,no,yes,yes,no,no
HP:0003354,Hyperthreoninemia,HP:0500136,Hypothreoninemia,yes,yes,no,yes,yes,yes,yes
HP:0003354,Hyperthreoninemia,HP:0500213,Decreased CSF threonine concentration,yes,no,no,no,yes,no,no
HP:0003358,Elevated intracellular cystine,HP:0500152,Hypocystinemia,yes,no,no,yes,yes,no,no
HP:0003361,Tryptophanuria,HP:0500135,Hypotryptophanemia,yes,yes,no,yes,yes,no,yes
HP:0003375,Narrow greater sciatic notch,HP:0008798,Widened greater sciatic notch,yes,yes,yes,yes,yes,yes,no
HP:0003452,Increased circulating iron concentration,HP:0040303,Decreased circulating iron concentration,yes,yes,yes,yes,yes,yes,no
HP:0003532,Ornithinuria,HP:0500163,Hypoornithinemia,no,no,yes,yes,yes,no,yes
HP:0003572,Low plasma citrulline,HP:0011966,Elevated plasma citrulline,yes,yes,yes,yes,yes,yes,no
HP:0003646,Bicarbonaturia,HP:0045011,Decreased urine bicarbonate concentration,yes,no,no,yes,yes,yes,yes
HP:0003658,Hypomethioninemia,HP:0500210,Increased CSF methionine concentration,yes,no,no,no,yes,no,no
HP:0003758,Reduced subcutaneous adipose tissue,HP:0009003,Increased subcutaneous truncal adipose tissue,yes,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0010580,Enlarged epiphyses,yes,no,yes,yes,yes,yes,yes
HP:0003844,Small epiphyses of the upper limbs,HP:0100103,Enlarged epiphysis of the distal phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100114,Enlarged epiphysis of the middle phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100183,Enlarged epiphysis of the middle phalanx of the 4th toe,no,no,no,no,no,no,yes
HP:0003844,Small epiphyses of the upper limbs,HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0004279,Short palm,HP:0011302,Long palm,yes,yes,yes,yes,yes,yes,no
HP:0004324,Increased body weight,HP:0004325,Decreased body weight,yes,yes,yes,yes,yes,yes,no
HP:0004324,Increased body weight,HP:0004326,Cachexia,yes,no,no,yes,yes,yes,yes
HP:0004349,Reduced bone mineral density,HP:0005789,Generalized osteosclerosis,yes,no,no,yes,yes,yes,yes
HP:0004349,Reduced bone mineral density,HP:0011002,Osteopetrosis,yes,no,no,yes,no,yes,yes
HP:0004368,Increased circulating purine concentration,HP:0004369,Decreased circulating purine concentration,yes,yes,yes,yes,yes,yes,no
HP:0004852,Reduced leukocyte alkaline phosphatase,HP:0008318,Elevated leukocyte alkaline phosphatase,yes,yes,yes,yes,yes,yes,no
HP:0004923,Hyperphenylalaninemia,HP:0500224,Decreased CSF phenylalanine concentration,yes,no,no,yes,yes,no,no
HP:0005019,Diaphyseal undertubulation,HP:0006470,Thin long bone diaphyses,no,yes,no,yes,yes,yes,no
HP:0005403,T lymphocytopenia,HP:0100828,Increased T cell count,yes,no,yes,yes,yes,yes,yes
HP:0005404,Increased B cell count,HP:0010976,B lymphocytopenia,yes,no,yes,yes,yes,yes,yes
HP:0005513,Increased megakaryocyte count,HP:0005548,Megakaryocytopenia,yes,no,yes,yes,yes,yes,yes
HP:0005537,Decreased mean platelet volume,HP:0011877,Increased mean platelet volume,yes,yes,yes,yes,yes,yes,no
HP:0005789,Generalized osteosclerosis,HP:0006462,Generalized bone demineralization,yes,yes,yes,yes,yes,yes,no
HP:0005819,Short middle phalanx of finger,HP:0012298,Long middle phalanx of finger,yes,yes,yes,yes,yes,yes,no
HP:0005961,Hypoargininemia,HP:0500203,Increased CSF arginine concentration,yes,no,no,no,yes,no,no
HP:0005990,Thyroid hypoplasia,HP:0008249,Thyroid hyperplasia,yes,yes,yes,yes,yes,yes,no
HP:0005995,Decreased adipose tissue around neck,HP:0009126,Increased adipose tissue,yes,yes,no,yes,no,no,yes
HP:0006254,Elevated circulating alpha-fetoprotein concentration,HP:0045057,Decreased circulating alpha-fetoprotein concentration,yes,yes,yes,yes,yes,yes,no
HP:0006429,Broad femoral neck,HP:0008819,Narrow femoral neck,yes,yes,yes,yes,yes,yes,no
HP:0006462,Generalized bone demineralization,HP:0011001,Increased bone mineral density,yes,no,yes,yes,yes,yes,yes
HP:0006462,Generalized bone demineralization,HP:0011002,Osteopetrosis,yes,yes,no,yes,yes,yes,yes
HP:0006610,Wide intermamillary distance,HP:0040158,Short intermamillary distance,yes,yes,yes,yes,no,yes,yes
