id1,id2,logical,text,inherit,term1,term2,inverse_verified_by_llm
HP:0100149,HP:0100154,t,t,f,Enlarged epiphysis of the middle phalanx of the 3rd toe,Small epiphysis of the middle phalanx of the 3rd toe,yes
HP:0003233,HP:0012184,t,t,f,Decreased HDL cholesterol concentration,Increased HDL cholesterol concentration,yes
HP:0000883,HP:0000900,t,f,f,Thin ribs,Thickened ribs,yes
HP:0012026,HP:0500163,t,t,f,Hyperornithinemia,Hypoornithinemia,yes
HP:0007350,HP:0012391,t,f,f,Upper limb hyperreflexia,Hyporeflexia of upper limbs,yes
HP:0032489,HP:0032490,f,t,f,Elevated fecal pH,Decreased fecal pH,yes
HP:0003354,HP:0500136,t,t,f,Hyperthreoninemia,Hypothreoninemia,yes
HP:0031807,HP:0031808,t,t,f,Increased basophil count,Decreased basophil count,yes
HP:0006329,HP:0009085,f,t,f,Alveolar process hypoplasia,Alveolar ridge overgrowth,yes
HP:0010450,HP:6000589,f,t,f,Esophageal stenosis,Esophageal dilation,yes
HP:0008687,HP:0008711,t,f,f,Hypoplasia of the prostate,Benign prostatic hyperplasia,yes
HP:0004879,HP:0004881,f,t,f,Intermittent hyperventilation,Episodic hypoventilation,yes
HP:0040204,HP:0040205,t,f,f,Elevated CSF neopterin level,Decreased CSF neopterin level,yes
HP:0007149,HP:0040267,f,t,f,Distal upper limb amyotrophy,Distal upper limb muscle hypertrophy,yes
HP:0008358,HP:0500139,t,t,f,Hyperprolinemia,Hypoprolinemia,yes
HP:0000468,HP:0005995,t,f,f,Increased adipose tissue around the neck,Decreased adipose tissue around neck,yes
HP:0040328,HP:0040331,f,t,f,Focal hyperintensity of cerebral white matter on MRI,Focal hypointensity of cerebral white matter on MRI,yes
HP:0009329,HP:0009413,t,f,f,Small epiphysis of the middle phalanx of the 3rd finger,Enlarged epiphyses of the 3rd finger,no
HP:0001829,HP:0001849,t,f,f,Foot polydactyly,Foot oligodactyly,yes
HP:0000822,HP:0002615,t,t,f,Hypertension,Hypotension,yes
HP:0009324,HP:0009418,t,f,f,Enlarged epiphysis of the middle phalanx of the 3rd finger,Small epiphyses of the 3rd finger,no
HP:0034441,HP:0500159,t,t,f,Decreased circulating aspartic acid concentration,Increased circulating aspartic acid concentration,yes
HP:0002153,HP:0002900,t,t,f,Hyperkalemia,Hypokalemia,yes
HP:0000953,HP:0007988,t,f,f,Hyperpigmentation of the skin,Macular hypopigmentation,yes
HP:0011284,HP:0011285,f,t,f,Short-segment aganglionic megacolon,Long-segment aganglionic megacolon,no
HP:0100114,HP:0100119,t,t,f,Enlarged epiphysis of the middle phalanx of the 2nd toe,Small epiphysis of the middle phalanx of the 2nd toe,yes
HP:0001238,HP:0001500,f,t,f,Slender finger,Broad finger,yes
HP:0000445,HP:0000460,t,t,f,Wide nose,Narrow nose,yes
HP:0000248,HP:0000268,t,t,f,Brachycephaly,Dolichocephaly,yes
HP:0020183,HP:0020184,f,t,f,Increased circulating A-type natriuretic peptide concentration,Decreased circulating A-type natriuretic peptide concentration,yes
HP:0011424,HP:0031831,t,t,f,Increased serum zinc,Decreased serum zinc,yes
HP:0005585,HP:0005590,f,t,f,Spotty hyperpigmentation,Spotty hypopigmentation,yes
HP:0025521,HP:0041079,f,t,f,Increased body fat percentage,Decreased body fat percentage,yes
HP:0030607,HP:0030608,f,t,f,Reduced OCT-measured macular thickness,Increased OCT-measured macular thickness,yes
HP:0032136,HP:0032298,f,t,f,Decreased circulating IgG1 concentration,Increased circulating IgG1 level,yes
HP:0410386,HP:0410391,f,t,f,"Decreased proportion of CD4-positive, alpha-beta memory T cells","Increased proportion of CD4-positive, alpha-beta memory T cells",yes
HP:0004005,HP:0004010,t,t,f,Large radial epiphyses,Small radial epiphyses,yes
HP:0001847,HP:0010109,t,t,f,Long hallux,Short hallux,yes
HP:0030783,HP:0430142,f,t,f,Increased circulating interleukin 6 concentration,Reduced circulating interleukin 6 concentration,yes
HP:0410376,HP:0410377,f,t,f,Increased proportion of naive CD8 T cells,Decreased proportion of naive CD8 T cells,yes
HP:0000684,HP:0006288,f,t,f,Delayed eruption of teeth,Advanced eruption of teeth,yes
HP:0031413,HP:6000036,f,t,f,Short telomere length,Long telomere length,yes
HP:0000331,HP:0400000,t,t,f,Short chin,Tall chin,no
HP:0000294,HP:0009890,f,t,f,Low anterior hairline,High anterior hairline,yes
HP:0009694,HP:0010249,t,f,f,Small thumb epiphysis,Enlarged epiphyses of the distal phalanges of the hand,yes
HP:0010260,HP:0010265,t,t,f,Enlarged epiphyses of the middle phalanges of the hand,Small epiphyses of the middle phalanges of the hand,yes
HP:0100216,HP:0100221,t,t,f,Enlarged epiphysis of the middle phalanx of the 5th toe,Small epiphysis of the middle phalanx of the 5th toe,yes
HP:0033373,HP:0033374,f,t,f,Increased KCO,Decreased KCO,yes
HP:0500156,HP:0500157,t,t,f,Hyperasparaginemia,Hypoasparaginemia,yes
HP:0030018,HP:0030019,f,t,f,Decreased female libido,Increased female libido,yes
HP:0000568,HP:0001090,t,f,f,Microphthalmia,Abnormally large globe,yes
HP:0000327,HP:0430028,t,t,f,Hypoplasia of the maxilla,Hyperplasia of the maxilla,yes
HP:0025434,HP:0031905,f,t,f,Reduced circulating CH50 activity,Increased total hemolytic complement activity,yes
HP:0032997,HP:0032998,f,t,f,Decreased cystatin C level,Increased cystatin C level,yes
HP:0009521,HP:0010231,t,f,f,Small epiphysis of the middle phalanx of the 2nd finger,Enlarged epiphyses of the phalanges of the hand,yes
HP:0001265,HP:0001347,t,t,f,Hyporeflexia,Hyperreflexia,yes
HP:0000426,HP:0005280,f,t,f,Prominent nasal bridge,Depressed nasal bridge,yes
HP:0006155,HP:0009803,f,t,f,Long phalanx of finger,Short phalanx of finger,yes
HP:0031843,HP:0033844,f,t,f,Abnormally slow thought process,Racing thoughts,yes
HP:0410385,HP:0410392,f,t,f,"Decreased proportion of CD8-positive, alpha-beta memory T cells","Increased proportion of CD8-positive, alpha-beta memory T cells",yes
HP:0009206,HP:0009211,t,t,f,Enlarged epiphysis of the middle phalanx of the 5th finger,Small epiphysis of the middle phalanx of the 5th finger,yes
HP:0009354,HP:0009413,t,f,f,Small epiphysis of the proximal phalanx of the 3rd finger,Enlarged epiphyses of the 3rd finger,yes
HP:0009804,HP:0011069,t,t,f,Tooth agenesis,Supernumerary tooth,yes
HP:0000594,HP:0007765,f,t,f,Shallow anterior chamber,Deep anterior chamber,yes
HP:0002945,HP:0030320,t,f,f,Intervertebral space narrowing,Increased intervertebral space,yes
HP:0010130,HP:0010135,t,t,f,Enlarged epiphysis of the proximal phalanx of the hallux,Small epiphysis of the proximal phalanx of the hallux,yes
HP:0030618,HP:0030619,f,t,f,Increased OCT-measured foveal thickness,Reduced OCT-measured foveal thickness,yes
HP:0032351,HP:0500141,t,f,f,Phenylalaninuria,Hypophenylalaninemia,yes
HP:0034171,HP:0034172,f,t,f,Reduced circulating interleukin 23 concentration,Increased circulating interleukin 23 concentration,yes
HP:0032137,HP:0032297,f,t,f,Decreased circulating IgG3 concentration,Increased circulating IgG3 level,yes
HP:0033445,HP:0045045,t,f,f,Reduced circulating acylcarnitine concentration,Elevated circulating acylcarnitine concentration,yes
HP:0002600,HP:0007083,t,f,f,Hyporeflexia of lower limbs,Hyperactive patellar reflex,yes
HP:0100080,HP:0100085,t,t,f,Enlarged epiphyses of the 5th toe,Small epiphyses of the 5th toe,yes
HP:0001347,HP:0012391,t,f,f,Hyperreflexia,Hyporeflexia of upper limbs,yes
HP:0001831,HP:0010511,t,t,f,Short toe,Long toe,yes
HP:0031794,HP:0040302,t,f,f,Decreased circulating glycerol level,Hyperglycerolemia,yes
