hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,yes
HP:0000093,Proteinuria,HP:0003127,Hypocalciuria,no
HP:0000093,Proteinuria,HP:0003359,Decreased urinary sulfate,no
HP:0000093,Proteinuria,HP:0011935,Decreased urinary urate,no
HP:0000093,Proteinuria,HP:0012364,Decreased urinary potassium,no
HP:0000093,Proteinuria,HP:0012365,Hypophosphaturia,N/A
HP:0000093,Proteinuria,HP:0012403,Decreased urine alpha-ketoglutarate concentration,no
HP:0000093,Proteinuria,HP:0012405,Hypocitraturia,no
HP:0000093,Proteinuria,HP:0012601,Hypochloriduria,no
HP:0000093,Proteinuria,HP:0012604,Hyponatriuria,no
HP:0000093,Proteinuria,HP:0012609,Hypomagnesiuria,no
HP:0000093,Proteinuria,HP:0040426,Decreased urinary hypoxanthine level,no
HP:0000093,Proteinuria,HP:0045011,Decreased urine bicarbonate concentration,no
HP:0000093,Proteinuria,HP:0045012,Decreased urinary catecholamine concentration,no
HP:0000093,Proteinuria,HP:0045035,Decreased urinary copper concentration,no
HP:0000093,Proteinuria,HP:0410055,Decreased level of erythritol in urine,no
HP:0000093,Proteinuria,HP:0410060,Decreased level of D-mannose in urine,no
HP:0000093,Proteinuria,HP:0410314,Decreased urinary 1-methylhistidine,no
HP:0000093,Proteinuria,HP:0410318,Decreased urinary 3-methylhistidine,no
HP:0000107,Renal cyst,HP:0010685,Low alkaline phosphatase of renal origin,no
HP:0000122,Unilateral renal agenesis,HP:0010685,Low alkaline phosphatase of renal origin,no
HP:0000158,Macroglossia,HP:0000171,Microglossia,yes
HP:0000160,Narrow mouth,HP:0000154,Wide mouth,yes
HP:0000238,Hydrocephalus,HP:0012446,Decreased CSF 5-methyltetrahydrofolate concentration,no
HP:0000238,Hydrocephalus,HP:0012656,Reduced CSF dopamine concentration,no
HP:0000238,Hydrocephalus,HP:0025457,Decreased CSF protein concentration,no
HP:0000238,Hydrocephalus,HP:0025458,Decreased CSF albumin concentration,no
HP:0000238,Hydrocephalus,HP:0030086,Reduced CSF lactate,no
HP:0000238,Hydrocephalus,HP:0040205,Decreased CSF neopterin level,no
HP:0000238,Hydrocephalus,HP:0040209,Decreased CSF biopterin level,no
HP:0000238,Hydrocephalus,HP:0410056,Decreased CSF erythritol concentration,no
HP:0000238,Hydrocephalus,HP:0410209,Folate deficiency in CSF,N/A
HP:0000238,Hydrocephalus,HP:0500188,Decreased CSF valine concentration,no
HP:0000238,Hydrocephalus,HP:0500190,Decreased CSF leucine concentration,no
HP:0000238,Hydrocephalus,HP:0500194,Decreased CSF isoleucine concentration,no
HP:0000238,Hydrocephalus,HP:0500198,Decreased CSF glutamine concentration,no
HP:0000238,Hydrocephalus,HP:0500201,Decreased CSF glutamate concentration,no
HP:0000238,Hydrocephalus,HP:0500204,Decreased CSF arginine concentration,no
HP:0000238,Hydrocephalus,HP:0500207,Decreased CSF lysine concentration,no
HP:0000238,Hydrocephalus,HP:0500213,Decreased CSF threonine concentration,no
HP:0000238,Hydrocephalus,HP:0500221,Decreased CSF tyrosine concentration,no
HP:0000238,Hydrocephalus,HP:0500224,Decreased CSF phenylalanine concentration,no
HP:0000238,Hydrocephalus,HP:0500228,Decreased CSF serine concentration,no
HP:0000238,Hydrocephalus,HP:0500234,Decreased CSF alanine concentration,no
HP:0000238,Hydrocephalus,HP:0500237,Decreased CSF histidine concentration,no
