hpo_id1,hpo_term1,hpo_id2,hpo_term2,strict,inverse_verified_by_llm
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,t,yes
HP:0000059,Hypoplastic labia majora,HP:0012882,Hyperplastic labia majora,t,yes
HP:0000093,Proteinuria,HP:0003075,Hypoproteinemia,t,no
HP:0000098,Tall stature,HP:0004322,Short stature,t,yes
HP:0000103,Polyuria,HP:0011037,Decreased urine output,t,yes
HP:0000154,Wide mouth,HP:0000160,Narrow mouth,t,yes
HP:0000158,Macroglossia,HP:0000171,Microglossia,t,yes
HP:0000188,Short upper lip,HP:0011341,Long upper lip,t,yes
HP:0000239,Large fontanelles,HP:0005486,Small fontanelle,t,yes
HP:0000248,Brachycephaly,HP:0000268,Dolichocephaly,t,yes
HP:0000253,Progressive microcephaly,HP:0004481,Progressive macrocephaly,t,yes
HP:0000253,Progressive microcephaly,HP:0040194,Increased head circumference,t,yes
HP:0000274,Small face,HP:0100729,Large face,t,yes
HP:0000275,Narrow face,HP:0000283,Broad face,t,yes
HP:0000276,Long face,HP:0011219,Short face,t,yes
HP:0000293,Full cheeks,HP:0009938,Sunken cheeks,t,yes
HP:0000316,Hypertelorism,HP:0000601,Hypotelorism,t,yes
HP:0000322,Short philtrum,HP:0000343,Long philtrum,t,yes
HP:0000327,Hypoplasia of the maxilla,HP:0430028,Hyperplasia of the maxilla,t,yes
HP:0000331,Short chin,HP:0400000,Tall chin,t,no
HP:0000337,Broad forehead,HP:0000341,Narrow forehead,t,yes
HP:0000350,Small forehead,HP:0002003,Large forehead,t,yes
HP:0000391,Thickened helices,HP:0009905,Thin ear helix,t,yes
HP:0000445,Wide nose,HP:0000460,Narrow nose,t,yes
HP:0000468,Increased adipose tissue around the neck,HP:0005995,Decreased adipose tissue around neck,t,yes
HP:0000470,Short neck,HP:0000472,Long neck,t,yes
HP:0000482,Microcornea,HP:0000485,Megalocornea,t,yes
HP:0000527,Long eyelashes,HP:0010764,Short eyelashes,t,yes
HP:0000568,Microphthalmia,HP:0001090,Abnormally large globe,t,yes
HP:0000574,Thick eyebrow,HP:0045074,Thin eyebrow,t,yes
HP:0000592,Blue sclerae,HP:0030823,Scleral thickening,t,yes
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,t,yes
HP:0000691,Microdontia,HP:0001572,Macrodontia,t,yes
HP:0000778,Hypoplasia of the thymus,HP:0010516,Thymus hyperplasia,t,yes
HP:0000790,Hematuria,HP:0001943,Hypoglycemia,t,no
HP:0000790,Hematuria,HP:0001988,Recurrent hypoglycemia,t,no
HP:0000821,Hypothyroidism,HP:0000836,Hyperthyroidism,t,yes
HP:0000822,Hypertension,HP:0002615,Hypotension,t,yes
HP:0000824,Decreased response to growth hormone stimulation test,HP:0000845,Elevated circulating growth hormone concentration,t,yes
HP:0000829,Hypoparathyroidism,HP:0000843,Hyperparathyroidism,t,yes
HP:0000829,Hypoparathyroidism,HP:0030348,Increased circulating androgen concentration,t,no
HP:0000837,Increased circulating gonadotropin level,HP:0030339,Decreased circulating gonadotropin concentration,t,yes
HP:0000842,Hyperinsulinemia,HP:0040216,Hypoinsulinemia,t,yes
HP:0000843,Hyperparathyroidism,HP:0030349,Decreased circulating androgen concentration,t,no
HP:0000846,Adrenal insufficiency,HP:0002717,Adrenal overactivity,t,yes
HP:0000848,Increased circulating renin concentration,HP:0003351,Decreased circulating renin concentration,t,yes
HP:0000859,Increased circulating aldosterone concentration,HP:0004319,Decreased circulating aldosterone concentration,t,yes
HP:0000860,Parathyroid hypoplasia,HP:0008208,Parathyroid hyperplasia,t,yes
HP:0000883,Thin ribs,HP:0000900,Thickened ribs,t,yes
HP:0000890,Long clavicles,HP:0000894,Short clavicles,t,yes
HP:0000921,Missing ribs,HP:0005815,Supernumerary ribs,t,yes
HP:0000938,Osteopenia,HP:0005789,Generalized osteosclerosis,t,yes
HP:0000938,Osteopenia,HP:0011001,Increased bone mineral density,t,yes
HP:0000938,Osteopenia,HP:0011002,Osteopetrosis,t,yes
HP:0000953,Hyperpigmentation of the skin,HP:0001010,Hypopigmentation of the skin,t,yes
HP:0000954,Single transverse palmar crease,HP:0006114,Multiple palmar creases,t,yes
HP:0000963,Thin skin,HP:0001072,Thickened skin,t,yes
HP:0000977,Soft skin,HP:0030053,Stiff skin,t,yes
HP:0001090,Abnormally large globe,HP:0007633,Bilateral microphthalmos,t,yes
HP:0001169,Broad palm,HP:0004283,Narrow palm,t,yes
HP:0001176,Large hands,HP:0200055,Small hand,t,yes
HP:0001196,Short umbilical cord,HP:0011417,Long umbilical cord,t,yes
HP:0001252,Hypotonia,HP:0001276,Hypertonia,t,yes
HP:0001265,Hyporeflexia,HP:0001347,Hyperreflexia,t,yes
HP:0001276,Hypertonia,HP:0001290,Generalized hypotonia,t,yes
HP:0001276,Hypertonia,HP:0006829,Severe muscular hypotonia,t,yes
HP:0001376,Limitation of joint mobility,HP:0001382,Joint hypermobility,t,yes
HP:0001376,Limitation of joint mobility,HP:0006094,Finger joint hypermobility,t,yes
HP:0001376,Limitation of joint mobility,HP:0010510,Hypermobility of toe joints,t,yes
HP:0001409,Portal hypertension,HP:0002615,Hypotension,t,no
HP:0001513,Obesity,HP:0001824,Weight loss,t,yes
HP:0001513,Obesity,HP:0004325,Decreased body weight,t,yes
HP:0001513,Obesity,HP:0004326,Cachexia,t,yes
HP:0001805,Onychogryphosis,HP:0001816,Thin nail,t,yes
HP:0001821,Broad nail,HP:0011313,Narrow nail,t,yes
HP:0001824,Weight loss,HP:0004324,Increased body weight,t,yes
HP:0001829,Foot polydactyly,HP:0001849,Foot oligodactyly,t,yes
HP:0001831,Short toe,HP:0010511,Long toe,t,yes
HP:0001847,Long hallux,HP:0010109,Short hallux,t,yes
HP:0001873,Thrombocytopenia,HP:0001894,Thrombocytosis,t,yes
HP:0001875,Neutropenia,HP:0012085,Pyuria,t,no
HP:0001880,Eosinophilia,HP:0031891,Decreased eosinophil count,t,yes
HP:0001882,Leukopenia,HP:0001974,Leukocytosis,t,yes
HP:0001888,Lymphopenia,HP:0100827,Lymphocytosis,t,yes
HP:0001896,Reticulocytopenia,HP:0001923,Reticulocytosis,t,yes
HP:0001943,Hypoglycemia,HP:0002249,Melena,t,no
HP:0001943,Hypoglycemia,HP:0003074,Hyperglycemia,t,yes
HP:0001943,Hypoglycemia,HP:0004925,Chronic lactic acidosis,t,no
HP:0001943,Hypoglycemia,HP:0040146,D-2-hydroxyglutaric acidemia,t,no
HP:0001943,Hypoglycemia,HP:0040147,L-2-hydroxyglutaric acidemia,t,no
HP:0001987,Hyperammonemia,HP:0100493,Hypoammonemia,t,yes
HP:0001988,Recurrent hypoglycemia,HP:0002249,Melena,t,no
HP:0001988,Recurrent hypoglycemia,HP:0003074,Hyperglycemia,t,yes
HP:0001988,Recurrent hypoglycemia,HP:0004925,Chronic lactic acidosis,t,no
HP:0001988,Recurrent hypoglycemia,HP:0040146,D-2-hydroxyglutaric acidemia,t,no
HP:0001988,Recurrent hypoglycemia,HP:0040147,L-2-hydroxyglutaric acidemia,t,no
HP:0002000,Short columella,HP:0009765,Low hanging columella,t,no
HP:0002092,Pulmonary arterial hypertension,HP:0002615,Hypotension,t,yes
HP:0002148,Hypophosphatemia,HP:0002905,Hyperphosphatemia,t,yes
HP:0002148,Hypophosphatemia,HP:0003109,Hyperphosphaturia,t,no
HP:0002149,Hyperuricemia,HP:0003537,Hypouricemia,t,yes
HP:0002150,Hypercalciuria,HP:0002901,Hypocalcemia,t,no
HP:0002150,Hypercalciuria,HP:0003127,Hypocalciuria,t,yes
HP:0002151,Increased circulating lactate concentration,HP:0030086,Reduced CSF lactate,t,yes
HP:0002152,Hyperproteinemia,HP:0003353,Propionyl-CoA carboxylase deficiency,t,no
HP:0002152,Hyperproteinemia,HP:0003643,Sulfite oxidase deficiency,t,no
HP:0002152,Hyperproteinemia,HP:0010686,Low alkaline phosphatase of hepatic origin,t,no
HP:0002152,Hyperproteinemia,HP:0025130,Decreased small intestinal mucosa lactase level,t,no
HP:0002152,Hyperproteinemia,HP:0025457,Decreased CSF protein concentration,t,no
HP:0002152,Hyperproteinemia,HP:0041044,Low neutrophil alkaline phosphatase,t,no
HP:0002153,Hyperkalemia,HP:0002900,Hypokalemia,t,yes
HP:0002153,Hyperkalemia,HP:0012364,Decreased urinary potassium,t,no
HP:0002154,Hyperglycinemia,HP:0012277,Hypoglycinemia,t,yes
HP:0002155,Hypertriglyceridemia,HP:0012153,Hypotriglyceridemia,t,yes
HP:0002156,Homocystinuria,HP:0020222,Hypohomocysteinemia,t,yes
HP:0002159,Heparan sulfate excretion in urine,HP:0410343,Decreased circulating heparan sulfate level,t,no
HP:0002160,Hyperhomocystinemia,HP:0020222,Hypohomocysteinemia,t,yes
HP:0002161,Hyperlysinemia,HP:0500142,Hypolysinemia,t,yes
HP:0002161,Hyperlysinemia,HP:0500207,Decreased CSF lysine concentration,t,yes
HP:0002395,Lower limb hyperreflexia,HP:0002600,Hyporeflexia of lower limbs,t,yes
HP:0002454,Eye of the tiger anomaly of globus pallidus,HP:0040303,Decreased circulating iron concentration,t,no
HP:0002490,Increased CSF lactate,HP:0030086,Reduced CSF lactate,t,yes
HP:0002570,Steatorrhea,HP:0045014,Hypolipidemia,t,no
HP:0002594,Pancreatic hypoplasia,HP:0006277,Pancreatic hyperplasia,t,yes
HP:0002615,Hypotension,HP:0004890,Elevated pulmonary artery pressure,t,no
HP:0002673,Coxa valga,HP:0002812,Coxa vara,t,yes
HP:0002677,Small foramen magnum,HP:0002700,Large foramen magnum,t,yes
HP:0002684,Thickened calvaria,HP:0010539,Thin calvarium,t,yes
HP:0002690,Large sella turcica,HP:0010538,Small sella turcica,t,yes
HP:0002716,Lymphadenopathy,HP:0002732,Lymph node hypoplasia,t,yes
HP:0002720,Decreased circulating IgA concentration,HP:0003261,Increased circulating IgA concentration,t,yes
HP:0002721,Immunodeficiency,HP:0100326,Immunologic hypersensitivity,t,yes
HP:0002731,Decreased lymphocyte apoptosis,HP:0030887,Increased lymphocyte apoptosis,t,yes
HP:0002750,Delayed skeletal maturation,HP:0005616,Accelerated skeletal maturation,t,yes
HP:0002791,Hypoventilation,HP:0002883,Hyperventilation,t,yes
HP:0002850,Decreased circulating total IgM,HP:0003496,Increased circulating IgM level,t,yes
HP:0002900,Hypokalemia,HP:0003081,Increased urinary potassium,t,no
HP:0002901,Hypocalcemia,HP:0003072,Hypercalcemia,t,yes
HP:0002902,Hyponatremia,HP:0003228,Hypernatremia,t,yes
HP:0002902,Hyponatremia,HP:0003575,Increased intracellular sodium,t,no
HP:0002904,Hyperbilirubinemia,HP:0033480,Hypobilirubinemia,t,yes
HP:0002905,Hyperphosphatemia,HP:0012365,Hypophosphaturia,t,no
HP:0002914,Hyperchloriduria,HP:0012601,Hypochloriduria,t,yes
HP:0002917,Hypomagnesemia,HP:0002918,Hypermagnesemia,t,yes
HP:0002917,Hypomagnesemia,HP:0012608,Hypermagnesiuria,t,no
HP:0002918,Hypermagnesemia,HP:0012609,Hypomagnesiuria,t,no
HP:0002920,Decreased circulating ACTH concentration,HP:0003154,Increased circulating ACTH level,t,yes
HP:0002922,Increased CSF protein concentration,HP:0003258,Glyoxalase deficiency,t,no
HP:0002922,Increased CSF protein concentration,HP:0004852,Reduced leukocyte alkaline phosphatase,t,no
HP:0002922,Increased CSF protein concentration,HP:0010684,Low alkaline phosphatase of bone origin,t,no
HP:0002922,Increased CSF protein concentration,HP:0010685,Low alkaline phosphatase of renal origin,t,no
HP:0002922,Increased CSF protein concentration,HP:0012380,Reduced tissue carnitine O-palmitoyltransferase 2 activity,t,no
HP:0002922,Increased CSF protein concentration,HP:0100950,Decreased 3-hydroxyacyl-CoA dehydrogenase level,t,no
HP:0002927,Histidinuria,HP:0500145,Hypohistidinemia,t,yes
HP:0002927,Histidinuria,HP:0500237,Decreased CSF histidine concentration,t,yes
HP:0002945,Intervertebral space narrowing,HP:0030320,Increased intervertebral space,t,yes
HP:0002946,Supernumerary vertebrae,HP:0030305,Decreased number of vertebrae,t,yes
HP:0003072,Hypercalcemia,HP:0003127,Hypocalciuria,t,no
HP:0003073,Hypoalbuminemia,HP:0012117,Hyperalbuminemia,t,yes
HP:0003073,Hypoalbuminemia,HP:0012592,Albuminuria,t,no
HP:0003073,Hypoalbuminemia,HP:0500239,Increased CSF albumin concentration,t,no
HP:0003077,Hyperlipidemia,HP:0045014,Hypolipidemia,t,yes
HP:0003081,Increased urinary potassium,HP:0012364,Decreased urinary potassium,t,yes
HP:0003108,Hyperglycinuria,HP:0012277,Hypoglycinemia,t,no
HP:0003109,Hyperphosphaturia,HP:0012365,Hypophosphaturia,t,yes
HP:0003113,Hypochloremia,HP:0011423,Hyperchloremia,t,yes
HP:0003118,Increased circulating cortisol level,HP:0008163,Decreased circulating cortisol level,t,yes
HP:0003124,Hypercholesterolemia,HP:0003146,Hypocholesterolemia,t,yes
HP:0003131,Cystinuria,HP:0500152,Hypocystinemia,t,yes
HP:0003137,Prolinuria,HP:0500139,Hypoprolinemia,t,yes
HP:0003138,Increased blood urea nitrogen,HP:0031969,Reduced blood urea nitrogen,t,yes
HP:0003141,Increased LDL cholesterol concentration,HP:0003563,Decreased LDL cholesterol concentration,t,yes
HP:0003149,Hyperuricosuria,HP:0003537,Hypouricemia,t,no
HP:0003155,Elevated circulating alkaline phosphatase concentration,HP:0003282,Decreased circulating alkaline phosphatase activity,t,yes
HP:0003155,Elevated circulating alkaline phosphatase concentration,HP:0010683,Low tissue non-specific alkaline phosphatase,t,yes
HP:0003166,Increased urinary taurine,HP:0500182,Hypotaurinemia,t,yes
HP:0003167,Carnosinuria,HP:0500162,Decreased circulating carnosine concentration,t,yes
HP:0003194,Short nasal bridge,HP:0033142,Long nasal bridge,t,yes
HP:0003212,Increased circulating IgE concentration,HP:0005479,Decreased circulating IgE concentration,t,yes
HP:0003217,Hyperglutaminemia,HP:0500147,Hypoglutaminemia,t,yes
HP:0003217,Hyperglutaminemia,HP:0500198,Decreased CSF glutamine concentration,t,yes
HP:0003231,Hypertyrosinemia,HP:0500133,Hypotyrosinemia,t,yes
HP:0003231,Hypertyrosinemia,HP:0500221,Decreased CSF tyrosine concentration,t,yes
HP:0003233,Decreased HDL cholesterol concentration,HP:0012184,Increased HDL cholesterol concentration,t,yes
HP:0003234,Decreased circulating carnitine concentration,HP:0035030,Elevated circulating carnitine concentration,t,yes
HP:0003235,Hypermethioninemia,HP:0003658,Hypomethioninemia,t,yes
HP:0003237,Increased circulating IgG concentration,HP:0004315,Decreased circulating IgG concentration,t,yes
HP:0003258,Glyoxalase deficiency,HP:0008318,Elevated leukocyte alkaline phosphatase,t,no
HP:0003258,Glyoxalase deficiency,HP:0010638,Elevated alkaline phosphatase of hepatic origin,t,no
HP:0003259,Elevated circulating creatinine concentration,HP:0012101,Decreased serum creatinine,t,yes
HP:0003260,Hydroxyprolinemia,HP:0500140,Decreased circulating hydroxyproline concentration,t,yes
HP:0003268,Argininuria,HP:0005961,Hypoargininemia,t,no
HP:0003268,Argininuria,HP:0500204,Decreased CSF arginine concentration,t,yes
HP:0003281,Increased circulating ferritin concentration,HP:0012343,Decreased circulating ferritin concentration,t,yes
HP:0003282,Decreased circulating alkaline phosphatase activity,HP:0010679,Elevated tissue non-specific alkaline phosphatase,t,no
HP:0003292,Decreased serum leptin,HP:0031793,Increased serum leptin,t,yes
HP:0003296,Hyperthreoninuria,HP:0500136,Hypothreoninemia,t,yes
HP:0003296,Hyperthreoninuria,HP:0500213,Decreased CSF threonine concentration,t,yes
HP:0003297,Hyperlysinuria,HP:0500142,Hypolysinemia,t,yes
HP:0003297,Hyperlysinuria,HP:0500207,Decreased CSF lysine concentration,t,yes
HP:0003334,Elevated circulating catecholamine level,HP:0045012,Decreased urinary catecholamine concentration,t,no
HP:0003348,Hyperalaninemia,HP:0500154,Hypoalaninemia,t,yes
HP:0003348,Hyperalaninemia,HP:0500234,Decreased CSF alanine concentration,t,yes
HP:0003353,Propionyl-CoA carboxylase deficiency,HP:0010639,Elevated alkaline phosphatase of bone origin,t,no
HP:0003353,Propionyl-CoA carboxylase deficiency,HP:0010680,Elevated alkaline phosphatase of renal origin,t,no
HP:0003354,Hyperthreoninemia,HP:0500136,Hypothreoninemia,t,yes
