hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm
HP:0000040,Long penis,HP:0000054,Micropenis,yes
HP:0000044,Hypogonadotropic hypogonadism,HP:0000815,Hypergonadotropic hypogonadism,yes
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,no
HP:0000059,Hypoplastic labia majora,HP:0012882,Hyperplastic labia majora,yes
HP:0000105,Enlarged kidney,HP:0000089,Renal hypoplasia,no
HP:0000117,Renal phosphate wasting,HP:0005571,Increased renal tubular phosphate reabsorption,yes
HP:0000154,Wide mouth,HP:0000160,Narrow mouth,yes
HP:0000158,Macroglossia,HP:0000171,Microglossia,yes
HP:0000158,Macroglossia,HP:0012473,Tongue atrophy,no
HP:0000176,Submucous cleft hard palate,HP:0011819,Submucous cleft soft palate,no
HP:0000179,Thick lower lip vermilion,HP:0010282,Thin lower lip vermilion,yes
HP:0000185,Cleft soft palate,HP:0410005,Cleft hard palate,no
HP:0000188,Short upper lip,HP:0011341,Long upper lip,yes
HP:0000215,Thick upper lip vermilion,HP:0000219,Thin upper lip vermilion,yes
HP:0000233,Thin vermilion border,HP:0012471,Thick vermilion border,yes
HP:0000239,Large fontanelles,HP:0005486,Small fontanelle,yes
HP:0000248,Brachycephaly,HP:0000268,Dolichocephaly,yes
HP:0000252,Microcephaly,HP:0000256,Macrocephaly,yes
HP:0000252,Microcephaly,HP:0040194,Increased head circumference,no
HP:0000253,Progressive microcephaly,HP:0004481,Progressive macrocephaly,yes
HP:0000255,Acute sinusitis,HP:0011109,Chronic sinusitis,yes
HP:0000260,Wide anterior fontanel,HP:0000237,Small anterior fontanelle,yes
HP:0000272,Malar flattening,HP:0010620,Malar prominence,yes
HP:0000274,Small face,HP:0100729,Large face,yes
HP:0000275,Narrow face,HP:0000283,Broad face,yes
HP:0000276,Long face,HP:0011219,Short face,yes
HP:0000287,Increased facial adipose tissue,HP:0009019,Progressive loss of facial adipose tissue,yes
HP:0000289,Broad philtrum,HP:0011829,Narrow philtrum,yes
HP:0000292,Loss of facial adipose tissue,HP:0000287,Increased facial adipose tissue,yes
HP:0000294,Low anterior hairline,HP:0009890,High anterior hairline,yes
HP:0000303,Mandibular prognathia,HP:0000347,Micrognathia,no
HP:0000316,Hypertelorism,HP:0000601,Hypotelorism,yes
HP:0000319,Smooth philtrum,HP:0002002,Deep philtrum,no
HP:0000322,Short philtrum,HP:0000343,Long philtrum,yes
HP:0000327,Hypoplasia of the maxilla,HP:0430028,Hyperplasia of the maxilla,yes
HP:0000331,Short chin,HP:0400000,Tall chin,no
HP:0000336,Prominent supraorbital ridges,HP:0009891,Underdeveloped supraorbital ridges,yes
HP:0000337,Broad forehead,HP:0000341,Narrow forehead,yes
HP:0000350,Small forehead,HP:0002003,Large forehead,yes
HP:0000371,Acute otitis media,HP:0000389,Chronic otitis media,no
HP:0000400,Macrotia,HP:0008551,Microtia,yes
HP:0000418,Narrow nasal ridge,HP:0012811,Wide nasal ridge,yes
HP:0000426,Prominent nasal bridge,HP:0005280,Depressed nasal bridge,yes
HP:0000431,Wide nasal bridge,HP:0000446,Narrow nasal bridge,yes
HP:0000444,Convex nasal ridge,HP:0011120,Concave nasal ridge,yes
HP:0000445,Wide nose,HP:0000460,Narrow nose,yes
HP:0000455,Broad nasal tip,HP:0011832,Narrow nasal tip,yes
HP:0000470,Short neck,HP:0000472,Long neck,yes
HP:0000482,Microcornea,HP:0000485,Megalocornea,yes
HP:0000494,Downslanted palpebral fissures,HP:0000582,Upslanted palpebral fissure,yes
HP:0000527,Long eyelashes,HP:0010764,Short eyelashes,yes
HP:0000571,Hypometric saccades,HP:0007338,Hypermetric saccades,yes
HP:0000574,Thick eyebrow,HP:0045074,Thin eyebrow,yes
HP:0000581,Blepharophimosis,HP:0000637,Long palpebral fissure,no
HP:0000594,Shallow anterior chamber,HP:0007765,Deep anterior chamber,yes
HP:0000599,Abnormality of the frontal hairline,HP:0030141,Abnormality of the posterior hairline,yes
HP:0000633,Decreased lacrimation,HP:0009926,Epiphora,no
HP:0000637,Long palpebral fissure,HP:0045025,Narrow palpebral fissure,yes
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,yes
HP:0000653,Sparse eyelashes,HP:0011231,Prominent eyelashes,yes
HP:0000668,Hypodontia,HP:0011069,Supernumerary tooth,no
HP:0000684,Delayed eruption of teeth,HP:0006288,Advanced eruption of teeth,yes
HP:0000691,Microdontia,HP:0001572,Macrodontia,yes
HP:0000778,Hypoplasia of the thymus,HP:0010516,Thymus hyperplasia,yes
HP:0000821,Hypothyroidism,HP:0000836,Hyperthyroidism,yes
HP:0000822,Hypertension,HP:0002615,Hypotension,yes
HP:0000829,Hypoparathyroidism,HP:0000843,Hyperparathyroidism,yes
HP:0000835,Adrenal hypoplasia,HP:0008221,Adrenal hyperplasia,yes
HP:0000842,Hyperinsulinemia,HP:0040216,Hypoinsulinemia,yes
HP:0000860,Parathyroid hypoplasia,HP:0008208,Parathyroid hyperplasia,yes
HP:0000870,Increased circulating prolactin concentration,HP:0008202,Reduced circulating prolactin concentration,yes
HP:0000890,Long clavicles,HP:0000894,Short clavicles,yes
HP:0000953,Hyperpigmentation of the skin,HP:0001010,Hypopigmentation of the skin,yes
HP:0000963,Thin skin,HP:0001072,Thickened skin,yes
HP:0000966,Hypohidrosis,HP:0000975,Hyperhidrosis,yes
HP:0000973,Cutis laxa,HP:0000974,Hyperextensible skin,no
HP:0000998,Hypertrichosis,HP:0008070,Sparse hair,yes
HP:0001034,Hypermelanotic macule,HP:0009719,Hypomelanotic macule,yes
HP:0001169,Broad palm,HP:0004283,Narrow palm,yes
HP:0001176,Large hands,HP:0200055,Small hand,yes
HP:0001196,Short umbilical cord,HP:0011417,Long umbilical cord,yes
HP:0001238,Slender finger,HP:0001500,Broad finger,yes
HP:0001252,Hypotonia,HP:0001276,Hypertonia,yes
HP:0001265,Hyporeflexia,HP:0001347,Hyperreflexia,yes
HP:0001315,Reduced tendon reflexes,HP:0001347,Hyperreflexia,yes
HP:0001376,Limitation of joint mobility,HP:0001382,Joint hypermobility,no
HP:0001403,Macrovesicular hepatic steatosis,HP:0001414,Microvesicular hepatic steatosis,yes
HP:0001413,Micronodular cirrhosis,HP:0006577,Macronodular cirrhosis,no
HP:0001476,Delayed closure of the anterior fontanelle,HP:0005458,Premature closure of fontanelles,yes
HP:0001477,Compensatory chin elevation,HP:0031706,Compensatory chin depression,yes
HP:0001520,Large for gestational age,HP:0001518,Small for gestational age,yes
HP:0001558,Decreased fetal movement,HP:0010519,Increased fetal movement,yes
HP:0001561,Polyhydramnios,HP:0001562,Oligohydramnios,yes
HP:0001611,Hypernasal speech,HP:0100271,Hyponasal speech,yes
HP:0001620,Abnormally high-pitched voice,HP:0010300,Abnormally low-pitched voice,yes
HP:0001640,Cardiomegaly,HP:0001961,Hypoplastic heart,no
HP:0001649,Tachycardia,HP:0001662,Bradycardia,yes
HP:0001657,Prolonged QT interval,HP:0012232,Shortened QT interval,yes
HP:0001674,Complete atrioventricular canal defect,HP:0011577,Partial atrioventricular canal defect,no
HP:0001688,Sinus bradycardia,HP:0011703,Sinus tachycardia,yes
HP:0001722,High-output congestive heart failure,HP:0009805,Low-output congestive heart failure,yes
HP:0001735,Acute pancreatitis,HP:0006280,Chronic pancreatitis,yes
HP:0001757,High-frequency sensorineural hearing impairment,HP:0008573,Low-frequency sensorineural hearing impairment,yes
HP:0001769,Broad foot,HP:0001786,Narrow foot,yes
HP:0001773,Short foot,HP:0001833,Long foot,yes
HP:0001805,Onychogryphosis,HP:0001816,Thin nail,no
HP:0001821,Broad nail,HP:0011313,Narrow nail,yes
HP:0001831,Short toe,HP:0010511,Long toe,yes
HP:0001837,Broad toe,HP:0011308,Slender toe,yes
HP:0001847,Long hallux,HP:0010109,Short hallux,yes
HP:0001882,Leukopenia,HP:0001974,Leukocytosis,yes
HP:0001899,Increased hematocrit,HP:0031851,Reduced hematocrit,yes
HP:0001919,Acute kidney injury,HP:0003774,Stage 5 chronic kidney disease,no
HP:0001935,Microcytic anemia,HP:0001972,Macrocytic anemia,yes
HP:0001943,Hypoglycemia,HP:0003074,Hyperglycemia,yes
HP:0001945,Fever,HP:0002045,Hypothermia,yes
HP:0001987,Hyperammonemia,HP:0100493,Hypoammonemia,yes
HP:0002057,Prominent glabella,HP:0011222,Depressed glabella,yes
HP:0002148,Hypophosphatemia,HP:0002905,Hyperphosphatemia,yes
HP:0002149,Hyperuricemia,HP:0003537,Hypouricemia,yes
HP:0002150,Hypercalciuria,HP:0003127,Hypocalciuria,yes
HP:0002152,Hyperproteinemia,HP:0003075,Hypoproteinemia,yes
HP:0002153,Hyperkalemia,HP:0002900,Hypokalemia,yes
HP:0002154,Hyperglycinemia,HP:0012277,Hypoglycinemia,yes
HP:0002155,Hypertriglyceridemia,HP:0012153,Hypotriglyceridemia,yes
HP:0002161,Hyperlysinemia,HP:0500142,Hypolysinemia,yes
HP:0002162,Low posterior hairline,HP:0012891,High posterior hairline,yes
HP:0002213,Fine hair,HP:0100874,Thick hair,no
HP:0002250,Abnormal large intestine morphology,HP:0002244,Abnormal small intestine morphology,no
HP:0002375,Hypokinesia,HP:0002487,Hyperkinetic movements,yes
HP:0002395,Lower limb hyperreflexia,HP:0002600,Hyporeflexia of lower limbs,yes
HP:0002488,Acute leukemia,HP:0005558,Chronic leukemia,yes
