hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_claude,inverse_verified_by_llm_llama,inverse_verified_by_llm_gemini,inverse_verified_by_llm_grok,inverse_verified_by_llm_qwen
HP:0000040,Long penis,HP:0000054,Micropenis,yes,yes,yes,yes,yes,yes,no
HP:0000044,Hypogonadotropic hypogonadism,HP:0000815,Hypergonadotropic hypogonadism,yes,yes,yes,yes,no,yes,no
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,yes,no,yes,yes,yes,yes,yes
HP:0000059,Hypoplastic labia majora,HP:0012882,Hyperplastic labia majora,yes,yes,yes,yes,yes,yes,no
HP:0000117,Renal phosphate wasting,HP:0005571,Increased renal tubular phosphate reabsorption,yes,yes,yes,yes,yes,yes,no
HP:0000154,Wide mouth,HP:0000160,Narrow mouth,yes,yes,yes,yes,yes,yes,no
HP:0000158,Macroglossia,HP:0012473,Tongue atrophy,no,no,yes,yes,yes,yes,yes
HP:0000188,Short upper lip,HP:0011341,Long upper lip,yes,yes,yes,yes,yes,yes,no
HP:0000215,Thick upper lip vermilion,HP:0000219,Thin upper lip vermilion,yes,yes,yes,yes,yes,yes,no
HP:0000252,Microcephaly,HP:0040194,Increased head circumference,yes,no,no,no,yes,yes,yes
HP:0000255,Acute sinusitis,HP:0011109,Chronic sinusitis,no,no,no,yes,yes,yes,yes
HP:0000272,Malar flattening,HP:0010620,Malar prominence,yes,no,yes,yes,yes,yes,no
HP:0000292,Loss of facial adipose tissue,HP:0000287,Increased facial adipose tissue,yes,yes,yes,yes,yes,yes,no
HP:0000303,Mandibular prognathia,HP:0000347,Micrognathia,yes,yes,no,yes,yes,yes,yes
HP:0000316,Hypertelorism,HP:0000601,Hypotelorism,yes,yes,yes,yes,yes,yes,no
HP:0000319,Smooth philtrum,HP:0002002,Deep philtrum,yes,yes,no,yes,yes,yes,no
HP:0000327,Hypoplasia of the maxilla,HP:0430028,Hyperplasia of the maxilla,yes,yes,yes,yes,yes,yes,no
HP:0000331,Short chin,HP:0400000,Tall chin,no,no,no,yes,yes,yes,yes
HP:0000337,Broad forehead,HP:0000341,Narrow forehead,yes,yes,yes,yes,yes,yes,no
HP:0000350,Small forehead,HP:0002003,Large forehead,yes,yes,yes,yes,yes,yes,no
HP:0000371,Acute otitis media,HP:0000389,Chronic otitis media,no,no,no,no,no,no,yes
HP:0000418,Narrow nasal ridge,HP:0012811,Wide nasal ridge,yes,yes,yes,yes,yes,yes,no
HP:0000444,Convex nasal ridge,HP:0011120,Concave nasal ridge,yes,yes,yes,yes,yes,yes,no
HP:0000445,Wide nose,HP:0000460,Narrow nose,yes,yes,yes,yes,yes,yes,no
HP:0000455,Broad nasal tip,HP:0011832,Narrow nasal tip,yes,yes,yes,yes,yes,yes,no
HP:0000470,Short neck,HP:0000472,Long neck,yes,yes,yes,yes,yes,yes,no
HP:0000482,Microcornea,HP:0000485,Megalocornea,yes,yes,yes,yes,yes,yes,no
HP:0000581,Blepharophimosis,HP:0000637,Long palpebral fissure,yes,no,no,yes,no,yes,yes
HP:0000633,Decreased lacrimation,HP:0009926,Epiphora,yes,no,yes,yes,yes,yes,yes
HP:0000637,Long palpebral fissure,HP:0045025,Narrow palpebral fissure,no,yes,yes,yes,yes,yes,no
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,yes,yes,yes,yes,yes,yes,no
HP:0000653,Sparse eyelashes,HP:0011231,Prominent eyelashes,no,no,no,yes,yes,yes,yes
HP:0000668,Hypodontia,HP:0011069,Supernumerary tooth,yes,no,no,yes,yes,yes,yes
HP:0000691,Microdontia,HP:0001572,Macrodontia,yes,yes,yes,yes,yes,yes,no
HP:0000870,Increased circulating prolactin concentration,HP:0008202,Reduced circulating prolactin concentration,yes,yes,yes,yes,yes,yes,no
HP:0000890,Long clavicles,HP:0000894,Short clavicles,yes,yes,yes,yes,yes,yes,no
HP:0000973,Cutis laxa,HP:0000974,Hyperextensible skin,no,no,no,yes,no,yes,yes
HP:0000998,Hypertrichosis,HP:0008070,Sparse hair,yes,no,yes,yes,yes,yes,yes
HP:0001169,Broad palm,HP:0004283,Narrow palm,yes,yes,yes,yes,yes,yes,no
HP:0001196,Short umbilical cord,HP:0011417,Long umbilical cord,yes,yes,yes,yes,yes,yes,no
HP:0001238,Slender finger,HP:0001500,Broad finger,yes,yes,yes,yes,yes,yes,no
HP:0001315,Reduced tendon reflexes,HP:0001347,Hyperreflexia,yes,yes,yes,yes,yes,yes,no
HP:0001376,Limitation of joint mobility,HP:0001382,Joint hypermobility,yes,no,yes,yes,yes,yes,yes
HP:0001403,Macrovesicular hepatic steatosis,HP:0001414,Microvesicular hepatic steatosis,no,yes,yes,no,no,yes,yes
HP:0001413,Micronodular cirrhosis,HP:0006577,Macronodular cirrhosis,yes,no,no,yes,yes,yes,yes
HP:0001520,Large for gestational age,HP:0001518,Small for gestational age,yes,yes,yes,yes,yes,yes,no
HP:0001611,Hypernasal speech,HP:0100271,Hyponasal speech,yes,yes,yes,yes,yes,yes,no
HP:0001640,Cardiomegaly,HP:0001961,Hypoplastic heart,yes,no,no,yes,yes,yes,yes
HP:0001688,Sinus bradycardia,HP:0011703,Sinus tachycardia,yes,yes,yes,yes,yes,yes,no
HP:0001735,Acute pancreatitis,HP:0006280,Chronic pancreatitis,no,no,no,no,no,yes,yes
HP:0001757,High-frequency sensorineural hearing impairment,HP:0008573,Low-frequency sensorineural hearing impairment,yes,yes,yes,yes,no,yes,yes
HP:0001769,Broad foot,HP:0001786,Narrow foot,yes,yes,yes,yes,yes,yes,no
HP:0001805,Onychogryphosis,HP:0001816,Thin nail,yes,no,no,yes,no,yes,yes
HP:0001821,Broad nail,HP:0011313,Narrow nail,yes,no,yes,yes,yes,yes,no
HP:0001831,Short toe,HP:0010511,Long toe,yes,yes,yes,yes,yes,yes,no
HP:0001837,Broad toe,HP:0011308,Slender toe,yes,no,no,yes,yes,yes,yes
HP:0001847,Long hallux,HP:0010109,Short hallux,yes,yes,yes,yes,yes,yes,no
HP:0002149,Hyperuricemia,HP:0003537,Hypouricemia,yes,yes,yes,yes,yes,yes,no
HP:0002162,Low posterior hairline,HP:0012891,High posterior hairline,yes,yes,yes,yes,yes,yes,no
HP:0002213,Fine hair,HP:0100874,Thick hair,yes,no,no,yes,yes,yes,yes
HP:0002395,Lower limb hyperreflexia,HP:0002600,Hyporeflexia of lower limbs,yes,yes,yes,yes,yes,yes,no
HP:0002488,Acute leukemia,HP:0005558,Chronic leukemia,no,no,yes,no,no,yes,yes
HP:0002516,Increased intracranial pressure,HP:0012641,Decreased intracranial pressure,yes,yes,yes,yes,yes,yes,no
HP:0002716,Lymphadenopathy,HP:0002732,Lymph node hypoplasia,yes,yes,yes,yes,yes,yes,no
HP:0002731,Decreased lymphocyte apoptosis,HP:0030887,Increased lymphocyte apoptosis,yes,yes,yes,yes,yes,yes,no
HP:0002850,Decreased circulating total IgM,HP:0003496,Increased circulating IgM level,yes,no,yes,yes,yes,yes,yes
HP:0002902,Hyponatremia,HP:0003228,Hypernatremia,yes,yes,yes,yes,yes,yes,no
HP:0002907,Microscopic hematuria,HP:0012587,Macroscopic hematuria,no,no,yes,yes,no,yes,yes
HP:0003022,Hypoplasia of the ulna,HP:0003988,Long ulna,no,no,no,yes,yes,yes,yes
HP:0003038,Fibular hypoplasia,HP:0003085,Long fibula,yes,no,no,yes,yes,yes,yes
HP:0003124,Hypercholesterolemia,HP:0003146,Hypocholesterolemia,yes,yes,yes,yes,yes,yes,no
HP:0003189,Long nose,HP:0003196,Short nose,yes,yes,yes,yes,yes,yes,no
HP:0003194,Short nasal bridge,HP:0033142,Long nasal bridge,yes,yes,yes,yes,yes,yes,no
HP:0003233,Decreased HDL cholesterol concentration,HP:0012184,Increased HDL cholesterol concentration,yes,yes,yes,yes,yes,yes,no
HP:0003259,Elevated circulating creatinine concentration,HP:0012101,Decreased serum creatinine,yes,yes,yes,no,yes,yes,yes
HP:0003282,Decreased circulating alkaline phosphatase activity,HP:0003155,Elevated circulating alkaline phosphatase concentration,no,yes,no,yes,yes,yes,no
HP:0003348,Hyperalaninemia,HP:0500154,Hypoalaninemia,yes,yes,yes,yes,yes,yes,no
HP:0003351,Decreased circulating renin concentration,HP:0000848,Increased circulating renin concentration,yes,yes,yes,yes,yes,yes,no
HP:0003359,Decreased urinary sulfate,HP:0012613,Increased urinary sulfate,yes,yes,yes,yes,yes,yes,no
HP:0003551,Difficulty climbing stairs,HP:0033235,Difficulty descending stairs,no,no,yes,yes,no,no,no
