mondo_id1,mondo_term1,mondo_id2,mondo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_aws,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_together,inverse_verified_by_llm_google
MONDO:0000004,adrenocortical insufficiency,MONDO:0006640,adrenal gland hyperfunction,yes,yes,no,no,yes
MONDO:0000004,adrenocortical insufficiency,MONDO:0018912,Cushing syndrome,yes,no,yes,yes,yes
MONDO:0000222,seminal vesicle acute gonorrhea,MONDO:0001025,seminal vesicle chronic gonorrhea,no,no,yes,no,yes
MONDO:0000257,acute diarrhea,MONDO:0044751,chronic diarrheal disease,no,no,yes,no,no
MONDO:0000333,early congenital syphilis,MONDO:0005821,late congenital syphilis,no,no,yes,yes,yes
MONDO:0000453,short QT syndrome,MONDO:0019171,familial long QT syndrome,yes,yes,no,yes,yes
MONDO:0000618,Her2-receptor negative breast cancer,MONDO:0006244,HER2 positive breast carcinoma,yes,no,yes,yes,yes
MONDO:0000875,adult acute monocytic leukemia,MONDO:0004614,chronic monocytic leukemia,yes,no,no,yes,no
MONDO:0000897,obsolete chronic myelomonocytic leukemia,MONDO:0004968,obsolete acute myelomonocytic leukemia,no,no,yes,no,no
MONDO:0001028,acute pericementitis,MONDO:0005593,chronic periodontitis,no,no,no,no,yes
MONDO:0001040,nasopharyngitis,MONDO:0005709,common cold,no,yes,no,no,yes
MONDO:0001064,acute eustachian salpingitis,MONDO:0002170,chronic eustachian salpingitis,no,no,yes,yes,yes
MONDO:0001080,acute gonococcal cervicitis,MONDO:0002029,chronic gonorrhea of cervix,yes,no,no,no,no
MONDO:0001081,acute cervicitis,MONDO:0002030,chronic cervicitis,yes,no,yes,yes,yes
MONDO:0001102,obsolete chronic endophthalmitis,MONDO:0001354,obsolete acute endophthalmitis,yes,no,yes,yes,no
MONDO:0001110,chronic pyelonephritis,MONDO:0003529,acute pyelonephritis,yes,yes,yes,yes,no
MONDO:0001122,chronic maxillary sinusitis,MONDO:0002186,acute maxillary sinusitis,yes,yes,yes,no,yes
MONDO:0001171,acute salpingo-oophoritis,MONDO:0001474,chronic salpingo-oophoritis,yes,no,yes,yes,yes
MONDO:0001173,acute salpingitis,MONDO:0003617,chronic salpingitis,yes,no,yes,yes,yes
MONDO:0001214,acute conjunctivitis,MONDO:0002314,chronic conjunctivitis,yes,no,yes,yes,yes
MONDO:0001227,chronic tympanitis,MONDO:0001802,acute tympanitis,yes,no,yes,yes,yes
MONDO:0001230,acute orbital inflammation,MONDO:0001849,chronic orbital inflammation,yes,no,yes,yes,yes
MONDO:0001360,blind hypotensive eye,MONDO:0001363,blind hypertensive eye,yes,no,yes,no,no
MONDO:0001369,chronic laryngitis,MONDO:0004777,acute laryngitis,yes,no,yes,yes,yes
MONDO:0001566,hypercalcemia disease,MONDO:0018543,autosomal dominant hypocalcemia,yes,yes,no,,yes
MONDO:0001575,chronic gonococcal salpingitis,MONDO:0001837,acute gonococcal salpingitis,yes,no,yes,yes,yes
MONDO:0001610,acute dacryocystitis,MONDO:0004925,chronic dacryocystitis,yes,no,yes,yes,yes
MONDO:0001650,acute cystitis,MONDO:0006030,chronic cystitis,yes,no,yes,yes,yes
MONDO:0001689,hypertrophy of tongue papillae,MONDO:0001989,atrophic glossitis,yes,yes,no,,yes
MONDO:0001817,acute closed-angle glaucoma,MONDO:0001966,chronic closed-angle glaucoma,no,no,yes,yes,no
MONDO:0001897,bilateral hyperactive labyrinth,MONDO:0003567,bilateral hypoactive labyrinth,yes,yes,no,yes,yes
MONDO:0001930,acute cholangitis,MONDO:0004786,chronic cholangitis,yes,no,yes,yes,yes
MONDO:0002492,acute kidney failure,MONDO:0024327,chronic renal failure syndrome,no,no,yes,,no
MONDO:0002738,acute transudative otitis media,MONDO:0021206,chronic non-suppurative otitis media,no,no,yes,,no
MONDO:0003050,lung large cell carcinoma,MONDO:0008433,small cell lung carcinoma,yes,no,no,yes,no
MONDO:0003967,synchronous multifocal osteogenic sarcoma,MONDO:0003968,asynchronous multifocal osteogenic sarcoma,yes,no,yes,yes,yes
MONDO:0004054,acute canaliculitis,MONDO:0004924,chronic canaliculitis,yes,no,yes,yes,yes
MONDO:0004055,acute inflammation of lacrimal passage,MONDO:0004923,chronic inflammation of lacrimal passage,no,no,no,yes,yes
MONDO:0004106,"testicular yolk sac tumor, macrocystic pattern",MONDO:0004547,reticular pattern testicular yolk sac tumor,yes,no,no,no,no
MONDO:0004265,acute endometritis,MONDO:0024279,chronic endometritis,yes,no,yes,yes,yes
MONDO:0004425,hyperthyroidism,MONDO:0005420,hypothyroidism,yes,yes,yes,no,yes
MONDO:0004613,acute intestinal ischemia,MONDO:0004622,chronic intestinal vascular insufficiency,yes,no,no,no,no
MONDO:0004614,chronic monocytic leukemia,MONDO:0007896,acute monocytic leukemia,yes,no,yes,yes,yes
MONDO:0004757,chronic ethmoidal sinusitis,MONDO:0004810,acute ethmoiditis,no,yes,no,yes,no
MONDO:0005003,chronic pancreatitis,MONDO:0006515,acute pancreatitis,yes,yes,no,yes,yes
MONDO:0005057,large cell neuroendocrine carcinoma,MONDO:0000402,small cell carcinoma,yes,no,no,yes,yes
MONDO:0005152,hypopituitarism,MONDO:0006793,hyperpituitarism,yes,yes,yes,no,yes
MONDO:0005354,chronic hepatitis C virus infection,MONDO:0100371,acute hepatitis C virus infection,no,yes,yes,yes,yes
MONDO:0005365,hearing loss disorder,MONDO:0043303,hyperacusis,yes,no,no,,no
MONDO:0005417,wet macular degeneration,MONDO:0100114,dry age related macular degeneration,yes,no,yes,yes,yes
