mondo_id1,mondo_term1,mondo_id2,mondo_term2,inverse_verified_by_llm
MONDO:0000004,adrenocortical insufficiency,MONDO:0006640,adrenal gland hyperfunction,yes
MONDO:0000004,adrenocortical insufficiency,MONDO:0018912,Cushing syndrome,yes
MONDO:0000171,"muscular dystrophy-dystroglycanopathy, type A",MONDO:0013894,short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome,no
MONDO:0000222,seminal vesicle acute gonorrhea,MONDO:0001025,seminal vesicle chronic gonorrhea,no
MONDO:0000257,acute diarrhea,MONDO:0044751,chronic diarrheal disease,no
MONDO:0000261,adenoiditis,MONDO:0020686,acute tonsillitis,no
MONDO:0000313,hypophosphatemia,MONDO:0000328,hyperphosphatemia,yes
MONDO:0000333,early congenital syphilis,MONDO:0005821,late congenital syphilis,no
MONDO:0000453,short QT syndrome,MONDO:0002442,long QT syndrome,yes
MONDO:0000453,short QT syndrome,MONDO:0019171,familial long QT syndrome,yes
MONDO:0000613,obsolete estrogen-receptor positive breast cancer,MONDO:0000614,obsolete estrogen-receptor negative breast cancer,yes
MONDO:0000615,progesterone-receptor positive breast cancer,MONDO:0000616,progesterone-receptor negative breast cancer,yes
MONDO:0000618,Her2-receptor negative breast cancer,MONDO:0006244,HER2 positive breast carcinoma,yes
MONDO:0000875,adult acute monocytic leukemia,MONDO:0004614,chronic monocytic leukemia,yes
MONDO:0000897,obsolete chronic myelomonocytic leukemia,MONDO:0004968,obsolete acute myelomonocytic leukemia,no
MONDO:0000952,cancer of long bone of lower limb,MONDO:0000953,cancer of short bone of lower limb,no
MONDO:0001014,chronic leukemia,MONDO:0010643,acute leukemia,yes
MONDO:0001028,acute pericementitis,MONDO:0005076,periodontitis,no
MONDO:0001028,acute pericementitis,MONDO:0005593,chronic periodontitis,no
MONDO:0001028,acute pericementitis,MONDO:0009850,"periodontitis, chronic, adult",no
MONDO:0001031,purulent acute otitis media,MONDO:0001920,chronic purulent otitis media,no
MONDO:0001039,tonsillitis,MONDO:0020686,acute tonsillitis,no
MONDO:0001040,nasopharyngitis,MONDO:0005709,common cold,no
MONDO:0001064,acute eustachian salpingitis,MONDO:0002170,chronic eustachian salpingitis,no
MONDO:0001066,late yaws,MONDO:0001067,early yaws,yes
MONDO:0001080,acute gonococcal cervicitis,MONDO:0002029,chronic gonorrhea of cervix,yes
MONDO:0001081,acute cervicitis,MONDO:0002030,chronic cervicitis,yes
MONDO:0001102,obsolete chronic endophthalmitis,MONDO:0001354,obsolete acute endophthalmitis,yes
MONDO:0001110,chronic pyelonephritis,MONDO:0003529,acute pyelonephritis,yes
MONDO:0001120,chronic frontal sinusitis,MONDO:0001912,acute frontal sinusitis,yes
MONDO:0001122,chronic maxillary sinusitis,MONDO:0002186,acute maxillary sinusitis,yes
MONDO:0001123,chronic sphenoidal sinusitis,MONDO:0001624,acute sphenoidal sinusitis,yes
MONDO:0001149,microcephaly,MONDO:0016608,megalencephaly,yes
MONDO:0001171,acute salpingo-oophoritis,MONDO:0001474,chronic salpingo-oophoritis,yes
MONDO:0001173,acute salpingitis,MONDO:0003617,chronic salpingitis,yes
MONDO:0001208,acute respiratory failure,MONDO:0021113,respiratory failure,no
MONDO:0001213,serous glue ear,MONDO:0001312,acute serous otitis media,no
MONDO:0001214,acute conjunctivitis,MONDO:0002314,chronic conjunctivitis,yes
MONDO:0001220,hypoparathyroidism,MONDO:0001741,hyperparathyroidism,yes
MONDO:0001227,chronic tympanitis,MONDO:0001802,acute tympanitis,yes
MONDO:0001228,conjunctival folliculosis,MONDO:0001685,chronic follicular conjunctivitis,no
MONDO:0001230,acute orbital inflammation,MONDO:0001849,chronic orbital inflammation,yes
MONDO:0001245,microcytic anemia,MONDO:0002281,macrocytic anemia,yes
MONDO:0001251,chronic apical periodontitis,MONDO:0001338,acute apical periodontitis,yes
MONDO:0001334,hypertrichosis of eyelid,MONDO:0001335,hypotrichosis of eyelid,yes
MONDO:0001360,blind hypotensive eye,MONDO:0001363,blind hypertensive eye,yes
MONDO:0001364,regular astigmatism,MONDO:0001831,irregular astigmatism,yes
MONDO:0001369,chronic laryngitis,MONDO:0004777,acute laryngitis,yes
MONDO:0001493,chronic pulmonary heart disease,MONDO:0004598,acute cor pulmonale,no
