id1,id2,logical,text,term1,term2
HP:0045012,HP:0011976,t,f,Decreased urinary catecholamine concentration,Elevated urinary catecholamine level
HP:0030387,HP:0030388,f,t,Increased proportion of class-switched memory B cells,Decreased proportion of class-switched memory B cells
HP:0011512,HP:0007894,f,t,Hyperpigmentation of the fundus,Hypopigmentation of the fundus
HP:0011302,HP:0004279,t,t,Long palm,Short palm
HP:0002673,HP:0002812,t,f,Coxa valga,Coxa vara
HP:0001821,HP:0011313,t,t,Broad nail,Narrow nail
HP:0000953,HP:0001010,f,t,Hyperpigmentation of the skin,Hypopigmentation of the skin
HP:0001034,HP:0009719,f,t,Hypermelanotic macule,Hypomelanotic macule
HP:0001849,HP:0001829,t,f,Foot oligodactyly,Foot polydactyly
HP:0012559,HP:0012560,f,t,Increased T3/T4 ratio,Decreased T3/T4 ratio
HP:0002907,HP:0012587,f,t,Microscopic hematuria,Macroscopic hematuria
HP:0009938,HP:0000293,t,f,Sunken cheeks,Full cheeks
HP:0000455,HP:0011832,f,t,Broad nasal tip,Narrow nasal tip
HP:0008593,HP:0011251,f,t,Prominent antitragus,Underdeveloped antitragus
HP:0012311,HP:0012312,t,t,Monocytosis,Monocytopenia
HP:0002700,HP:0002677,t,t,Large foramen magnum,Small foramen magnum
HP:0012214,HP:0012213,f,t,Increased glomerular filtration rate,Decreased glomerular filtration rate
HP:0040015,HP:0008972,t,t,Increased activity of mitochondrial respiratory chain,Decreased activity of mitochondrial respiratory chain
HP:0007338,HP:0000571,f,t,Hypermetric saccades,Hypometric saccades
HP:0010130,HP:0010135,t,t,Enlarged epiphysis of the proximal phalanx of the hallux,Small epiphysis of the proximal phalanx of the hallux
HP:0000836,HP:0000821,t,t,Hyperthyroidism,Hypothyroidism
HP:0005506,HP:0004808,f,t,Chronic myelogenous leukemia,Acute myeloid leukemia
HP:0002490,HP:0030086,t,t,Increased CSF lactate,Reduced CSF lactate
HP:0000845,HP:0000824,t,f,Elevated circulating growth hormone concentration,Decreased response to growth hormone stimulation test
HP:0009527,HP:0009532,t,t,Enlarged epiphysis of the proximal phalanx of the 2nd finger,Small epiphysis of the proximal phalanx of the 2nd finger
HP:0011819,HP:0000176,f,t,Submucous cleft soft palate,Submucous cleft hard palate
HP:0000179,HP:0010282,f,t,Thick lower lip vermilion,Thin lower lip vermilion
HP:0002057,HP:0011222,f,t,Prominent glabella,Depressed glabella
HP:0040053,HP:0040055,t,t,Long lower eyelashes,Short lower eyelashes
HP:0011010,HP:0011009,f,t,Chronic,Acute
HP:0003109,HP:0012365,t,t,Hyperphosphaturia,Hypophosphaturia
HP:0030375,HP:0030374,f,t,Increased proportion of memory B cells,Decreased proportion of memory B cells
HP:0000843,HP:0000829,t,t,Hyperparathyroidism,Hypoparathyroidism
HP:0030634,HP:0030633,f,t,Perifoveal ring of hyperautofluorescence surrounded by abnormal autofluorescence,Perifoveal ring of hyperautofluorescence surrounded by normal autofluorescence
HP:0025250,HP:0025251,f,t,Closed comedo,Open comedo
HP:0005961,HP:0003268,t,f,Hypoargininemia,Argininuria
HP:0000400,HP:0008551,f,t,Macrotia,Microtia
HP:0100080,HP:0100085,t,t,Enlarged epiphyses of the 5th toe,Small epiphyses of the 5th toe
HP:0011899,HP:0011900,f,t,Hyperfibrinogenemia,Hypofibrinogenemia
HP:0012370,HP:0010669,f,t,Prominence of the zygomatic bone,Hypoplasia of the zygomatic bone
HP:0000253,HP:0004481,t,t,Progressive microcephaly,Progressive macrocephaly
HP:0012686,HP:0012685,t,t,Increased pineal volume,Decreased pineal volume
HP:0012771,HP:0012770,f,t,Increased arm span,Reduced arm span
HP:0001500,HP:0001238,f,t,Broad finger,Slender finger
HP:0007765,HP:0000594,f,t,Deep anterior chamber,Shallow anterior chamber
HP:0001757,HP:0008573,f,t,High-frequency sensorineural hearing impairment,Low-frequency sensorineural hearing impairment
HP:0006267,HP:0006266,t,t,Large placenta,Small placenta
HP:0004324,HP:0004325,t,t,Increased body weight,Decreased body weight
HP:0006288,HP:0000684,f,t,Advanced eruption of teeth,Delayed eruption of teeth
HP:0000098,HP:0004322,t,t,Tall stature,Short stature
HP:0030852,HP:0030851,f,t,High pulse pressure,Low pulse pressure
HP:0009516,HP:0009521,t,t,Enlarged epiphysis of the middle phalanx of the 2nd finger,Small epiphysis of the middle phalanx of the 2nd finger
HP:0003124,HP:0003146,t,t,Hypercholesterolemia,Hypocholesterolemia
HP:0009413,HP:0009418,t,t,Enlarged epiphyses of the 3rd finger,Small epiphyses of the 3rd finger
HP:0011247,HP:0011246,f,t,Prominent superior crus of antihelix,Underdeveloped superior crus of antihelix
HP:0008401,HP:0012746,t,f,Onychogryposis of toenails,Thin toenail
HP:0005484,HP:0005490,f,t,Secondary microcephaly,Postnatal macrocephaly
HP:0002002,HP:0000319,f,t,Deep philtrum,Smooth philtrum
HP:0045011,HP:0003646,t,f,Decreased urine bicarbonate concentration,Bicarbonaturia
HP:0030143,HP:0030144,f,t,Hyperactive bowel sounds,Hypoactive bowel sounds
HP:0002150,HP:0003127,t,t,Hypercalciuria,Hypocalciuria
HP:0012471,HP:0000233,f,t,Thick vermilion border,Thin vermilion border
HP:0012608,HP:0012609,t,t,Hypermagnesiuria,Hypomagnesiuria
HP:0006429,HP:0008819,t,t,Broad femoral neck,Narrow femoral neck
HP:0007840,HP:0040054,t,t,Long upper eyelashes,Short upper eyelashes
HP:0040194,HP:0000252,f,t,Increased head circumference,Microcephaly
HP:0000938,HP:0011002,t,f,Osteopenia,Osteopetrosis
HP:0012774,HP:0012773,f,t,Increased upper to lower segment ratio,Reduced upper to lower segment ratio
HP:0005558,HP:0002488,f,t,Chronic leukemia,Acute leukemia
HP:0004488,HP:0011451,f,t,Macrocephaly at birth,Primary microcephaly
HP:0000599,HP:0030141,f,t,Abnormality of the frontal hairline,Abnormality of the posterior hairline
HP:0011341,HP:0000188,t,t,Long upper lip,Short upper lip
HP:0009905,HP:0000391,t,f,Thin ear helix,Thickened helices
HP:0005274,HP:0005278,f,t,Prominent nasal tip,Hypoplastic nasal tip
HP:0010580,HP:0010585,t,t,Enlarged epiphyses,Small epiphyses
HP:0400000,HP:0000331,t,t,Tall chin,Short chin
HP:0100227,HP:0100232,t,t,Enlarged epiphysis of the proximal phalanx of the 5th toe,Small epiphysis of the proximal phalanx of the 5th toe
